,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
1297,-23.192970084749746,-54.43745992240569,0.1211,0.0938,0.0947,0.0725,0.1178,0.2969,0.3731,0.3654,0.047,0.0016,0.2925,0.1553,0.4011,54.317626953125,3.794158935546875,19.16796875,11.48529052734375,4.340866088867188,2.817779541015625,47.543701171875,8.4342041015625,160.3837890625,76.08642578125,30.71533203125,2.4264678955078125,0.8093986511230469,200.017578125,2.59619140625,991.4140625,22.5498046875,0.6341629028320312,-0.22747802734375,0.131500244140625,-0.3306884765625,0.56512451171875,1.364044189453125,-0.120574951171875,0.613555908203125,-4.1451416015625,2.3839111328125,0.4928131103515625,-0.480438232421875,-0.2470722198486328,11.1376953125
3675,-23.19503135497441,-54.43745992240569,0.1234,0.1003,0.1049,0.1028,0.1355,0.277,0.3425,0.3088,0.0463,0.0014,0.3244,0.1891,0.3736,53.587646484375,4.13226318359375,23.072265625,10.77301025390625,4.21881103515625,2.8942794799804688,47.8453369140625,9.2762451171875,132.025390625,72.619873046875,32.57080078125,2.3924560546875,0.7508201599121094,150.55859375,1.802978515625,958.94921875,37.97265625,0.5258636474609375,-0.314422607421875,0.41925048828125,0.3804931640625,0.25689697265625,1.068939208984375,0.038177490234375,0.511688232421875,-3.49066162109375,1.33734130859375,0.3510665893554687,-0.30865478515625,-0.2506465911865234,8.70751953125
5934,-23.19709262519909,-54.43745992240569,0.1232,0.097,0.1012,0.0836,0.1289,0.3063,0.3864,0.3653,0.0475,0.0014,0.3206,0.1752,0.4157,54.821533203125,3.9473876953125,21.884521484375,11.06109619140625,4.3318939208984375,2.849090576171875,49.02001953125,8.38623046875,135.2724609375,73.700927734375,28.814453125,2.25640869140625,0.7868690490722656,150.6640625,2.6876220703125,905.6953125,30.7216796875,0.5512466430664062,-0.18017578125,0.31707763671875,0.249298095703125,0.444305419921875,1.356597900390625,0.034698486328125,0.7303466796875,-4.167724609375,1.5653076171875,0.4332275390625,-0.540283203125,-0.2406387329101562,10.296630859375
8072,-23.19915389542377,-54.43754979382463,0.1225,0.0977,0.1015,0.087,0.1282,0.3025,0.3778,0.3472,0.0492,0.0015,0.3169,0.1739,0.4092,50.96826171875,4.133636474609375,23.017578125,10.67962646484375,4.2391204833984375,2.910438537597656,48.1524658203125,8.688232421875,134.8916015625,76.9197998046875,30.8056640625,2.565780639648437,0.8091049194335938,156.779296875,2.753662109375,949.50390625,28.232421875,0.5412521362304688,-0.435882568359375,0.466339111328125,0.41778564453125,0.2706298828125,1.186737060546875,0.0883255004882812,0.60443115234375,-3.97320556640625,1.5032958984375,0.5230636596679688,-0.415374755859375,-0.2361221313476562,10.228759765625
1611,-23.193217437176703,-54.435572622607936,0.1218,0.0979,0.1008,0.0954,0.1315,0.2836,0.3541,0.3145,0.0467,0.0014,0.3134,0.1754,0.3839,53.89306640625,3.891937255859375,20.150390625,11.291748046875,4.299224853515625,2.840927124023437,47.4375,8.7232666015625,154.1435546875,75.3507080078125,31.6103515625,2.4458770751953125,0.7937812805175781,190.0234375,2.3297119140625,992.51953125,26.5029296875,0.6084976196289062,-0.269866943359375,0.207794189453125,-0.16302490234375,0.47357177734375,1.263458251953125,-0.0857009887695312,0.5623779296875,-3.9234619140625,2.1392822265625,0.4568252563476562,-0.41339111328125,-0.2488489151000976,10.446044921875
3972,-23.195278707401386,-54.43566249402688,0.1214,0.0959,0.0993,0.0772,0.1227,0.3273,0.4175,0.3844,0.0498,0.0014,0.3138,0.16,0.4496,53.771240234375,4.120147705078125,23.05224609375,10.78778076171875,4.2286376953125,2.89080810546875,47.997802734375,9.203125,131.4384765625,72.5570068359375,32.193359375,2.3707427978515625,0.7522850036621094,148.818359375,1.8697509765625,951.33203125,37.7607421875,0.5251617431640625,-0.297943115234375,0.41497802734375,0.386688232421875,0.270050048828125,1.09332275390625,0.0419998168945312,0.53411865234375,-3.54486083984375,1.32830810546875,0.353363037109375,-0.33013916015625,-0.249786376953125,8.798095703125
6128,-23.19725752681707,-54.43566249402688,0.1221,0.0953,0.1004,0.0792,0.1251,0.3211,0.4055,0.3791,0.0489,0.0015,0.3172,0.1666,0.4411,54.794189453125,3.936798095703125,21.7919921875,11.077392578125,4.3378448486328125,2.8470382690429688,49.064453125,8.3275146484375,135.8408203125,73.9117431640625,28.6123046875,2.257553100585937,0.7905807495117188,151.5078125,2.75634765625,904.0546875,29.9833984375,0.5539932250976562,-0.17816162109375,0.311248779296875,0.236572265625,0.454986572265625,1.373687744140625,0.0340118408203125,0.74176025390625,-4.2132568359375,1.5916748046875,0.4429702758789062,-0.553466796875,-0.2398223876953125,10.427490234375
8258,-23.199318797041744,-54.435752365445815,0.1236,0.0992,0.1021,0.0925,0.1317,0.2905,0.3623,0.3338,0.048,0.0014,0.3249,0.1842,0.3918,50.229248046875,4.191436767578125,23.42919921875,10.57000732421875,4.209625244140625,2.926788330078125,47.906982421875,8.8511962890625,133.65234375,77.1976318359375,31.5517578125,2.6261444091796875,0.8070526123046875,156.220703125,2.6485595703125,960.73046875,29.060546875,0.5338516235351562,-0.491485595703125,0.50836181640625,0.478485107421875,0.215423583984375,1.12225341796875,0.101654052734375,0.559478759765625,-3.85406494140625,1.43902587890625,0.5241241455078125,-0.367279052734375,-0.2365684509277343,9.981689453125
1920,-23.193464789603667,-54.43368532281018,0.1238,0.1004,0.1049,0.0954,0.1337,0.2941,0.3645,0.338,0.0462,0.0014,0.3246,0.1822,0.3982,53.586181640625,3.97088623046875,20.9658203125,11.1337890625,4.2665557861328125,2.8594284057617188,47.3804931640625,8.9505615234375,148.8076171875,74.7108154296875,32.2802734375,2.4569244384765625,0.7809028625488281,181.294921875,2.1192626953125,991.82421875,29.7880859375,0.5869216918945312,-0.301239013671875,0.2705078125,-0.022003173828125,0.400146484375,1.184478759765625,-0.0559539794921875,0.524322509765625,-3.74871826171875,1.932861328125,0.4268112182617187,-0.361785888671875,-0.2501897811889648,9.884033203125
4177,-23.19544360901936,-54.43377519422913,0.1225,0.0965,0.1003,0.0804,0.1267,0.3173,0.402,0.372,0.0487,0.0014,0.3198,0.1668,0.4337,53.902587890625,4.10858154296875,23.005126953125,10.8040771484375,4.2366943359375,2.8876953125,48.1036376953125,9.14306640625,131.2705078125,72.54931640625,31.9052734375,2.3559112548828125,0.7539329528808594,148.01171875,1.9254150390625,946.1875,37.45703125,0.5256500244140625,-0.285675048828125,0.409454345703125,0.385040283203125,0.28216552734375,1.113250732421875,0.043426513671875,0.551055908203125,-3.59002685546875,1.3310546875,0.3564987182617187,-0.347015380859375,-0.249119758605957,8.88525390625
6409,-23.19750487924403,-54.433865065648064,0.1219,0.0981,0.103,0.0895,0.1314,0.297,0.3703,0.3464,0.0494,0.0015,0.3186,0.1804,0.398,54.68359375,3.926361083984375,21.6884765625,11.0919189453125,4.34393310546875,2.845527648925781,49.1031494140625,8.257568359375,136.615234375,74.250732421875,28.3896484375,2.265106201171875,0.7958831787109375,152.796875,2.846435546875,902.9140625,28.9619140625,0.5574874877929688,-0.1805419921875,0.30633544921875,0.222503662109375,0.465789794921875,1.392608642578125,0.0338363647460937,0.75408935546875,-4.26904296875,1.62603759765625,0.4574661254882812,-0.568115234375,-0.2386846542358398,10.59765625
8442,-23.19948369865972,-54.43395493706701,0.1263,0.1035,0.1071,0.1074,0.1419,0.2719,0.3309,0.3056,0.046,0.0017,0.3397,0.2068,0.3629,49.40966796875,4.2576904296875,23.908935546875,10.44464111328125,4.1757659912109375,2.945396423339844,47.6290283203125,9.042236328125,132.1435546875,77.47216796875,32.416015625,2.693206787109375,0.8041496276855469,155.404296875,2.5208740234375,973.40234375,30.1123046875,0.5250930786132812,-0.55377197265625,0.556396484375,0.548919677734375,0.152069091796875,1.047576904296875,0.1168441772460937,0.507720947265625,-3.71392822265625,1.36199951171875,0.5236968994140625,-0.31158447265625,-0.2371835708618164,9.6845703125
2229,-23.193712142030627,-54.43179802301243,0.1228,0.0968,0.1023,0.0862,0.1277,0.3011,0.3755,0.3504,0.0489,0.0014,0.318,0.1727,0.4083,53.384765625,4.032470703125,21.62646484375,11.008544921875,4.242095947265625,2.8737106323242188,47.368408203125,9.120849609375,144.3134765625,74.162841796875,32.7451171875,2.460433959960937,0.7705764770507812,173.76171875,1.9599609375,989.53515625,32.44140625,0.5691146850585938,-0.32281494140625,0.32037353515625,0.09429931640625,0.343109130859375,1.12518310546875,-0.0309371948242187,0.498077392578125,-3.6173095703125,1.76190185546875,0.4023590087890625,-0.32427978515625,-0.2511262893676758,9.4423828125
