,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
1297,-23.192970084749746,-54.43745992240569,0.1211,0.0938,0.0947,0.0725,0.1178,0.2969,0.3731,0.3654,0.047,0.0016,0.2925,0.1553,0.4011,52.84,3.9133333333333336,20.46333333333333,11.126666666666669,4.28,2.8000000000000003,48.91333333333333,8.59,149.77666666666667,75.08,30.19666666666667,2.72,0.8066666666666666,180.64666666666668,1.893333333333333,961.5633333333334,29.356666666666666,0.6033333333333333,-0.31,0.2533333333333333,-0.0766666666666666,0.4433333333333333,1.2733333333333332,-0.1033333333333333,0.7233333333333333,-3.9933333333333336,2.036666666666666,0.4666666666666667,-0.4833333333333333,-0.2299999999999999,10.666666666666666
3675,-23.19503135497441,-54.43745992240569,0.1234,0.1003,0.1049,0.1028,0.1355,0.277,0.3425,0.3088,0.0463,0.0014,0.3244,0.1891,0.3736,53.79999999999999,3.8733333333333335,20.80666666666667,10.89,4.326666666666667,2.7966666666666664,48.92,8.56,141.99333333333334,73.03999999999999,29.126666666666665,1.9933333333333327,0.8166666666666665,169.45333333333335,1.2066666666666668,939.0466666666666,30.026666666666667,0.5933333333333333,-0.23,0.2333333333333333,0.0233333333333333,0.3833333333333333,1.3633333333333333,-0.0533333333333333,0.7466666666666667,-3.966666666666667,1.8133333333333328,0.42,-0.5266666666666667,-0.21,10.243333333333332
5934,-23.19709262519909,-54.43745992240569,0.1232,0.097,0.1012,0.0836,0.1289,0.3063,0.3864,0.3653,0.0475,0.0014,0.3206,0.1752,0.4157,53.13,3.936666666666666,21.69333333333333,10.783333333333331,4.263333333333333,2.833333333333333,48.56666666666666,8.486666666666666,127.00333333333332,67.54,26.933333333333337,2.623333333333333,0.71,147.96333333333334,2.733333333333333,858.4966666666668,29.92,0.5166666666666667,-0.2266666666666666,0.3733333333333333,0.2733333333333334,0.41,1.34,0.1133333333333333,0.75,-3.91,1.38,0.2766666666666666,-0.62,-0.1533333333333333,9.826666666666666
8072,-23.19915389542377,-54.43754979382463,0.1225,0.0977,0.1015,0.087,0.1282,0.3025,0.3778,0.3472,0.0492,0.0015,0.3169,0.1739,0.4092,53.42333333333334,3.883333333333333,21.633333333333336,11.013333333333334,4.23,2.82,48.20333333333334,8.193333333333333,126.68666666666664,70.04,28.58666666666667,2.58,0.7466666666666667,149.55666666666664,3.4533333333333336,848.4233333333333,26.126666666666665,0.5233333333333333,-0.2,0.34,0.2833333333333334,0.5166666666666667,1.33,0.0966666666666666,0.7466666666666667,-4.1866666666666665,1.37,0.3633333333333333,-0.5,-0.1566666666666666,10.09
1611,-23.193217437176703,-54.435572622607936,0.1218,0.0979,0.1008,0.0954,0.1315,0.2836,0.3541,0.3145,0.0467,0.0014,0.3134,0.1754,0.3839,53.68666666666667,3.890000000000001,19.746666666666663,11.393333333333333,4.3133333333333335,2.8233333333333337,47.29333333333333,8.726666666666667,158.3166666666667,76.78333333333333,31.846666666666668,2.24,0.8066666666666666,193.79333333333335,2.223333333333333,990.72,25.563333333333333,0.6366666666666666,-0.29,0.2,-0.25,0.5,1.2733333333333332,-0.1333333333333333,0.5433333333333333,-3.94,2.266666666666667,0.4966666666666666,-0.41,-0.2566666666666666,10.606666666666667
3972,-23.195278707401386,-54.43566249402688,0.1214,0.0959,0.0993,0.0772,0.1227,0.3273,0.4175,0.3844,0.0498,0.0014,0.3138,0.16,0.4496,53.97333333333333,3.943333333333333,22.28,10.966666666666669,4.3,2.84,48.656666666666666,9.053333333333333,128.41333333333333,74.09333333333332,31.27333333333333,1.7,0.7799999999999999,147.61,1.2866666666666666,937.5933333333332,34.443333333333335,0.5366666666666666,-0.26,0.2666666666666666,0.27,0.3666666666666667,1.2333333333333334,0.01,0.6466666666666666,-3.633333333333333,1.28,0.4233333333333333,-0.3699999999999999,-0.2333333333333333,8.993333333333332
6128,-23.19725752681707,-54.43566249402688,0.1221,0.0953,0.1004,0.0792,0.1251,0.3211,0.4055,0.3791,0.0489,0.0015,0.3172,0.1666,0.4411,54.20666666666667,3.9266666666666654,21.683333333333334,11.043333333333331,4.3500000000000005,2.82,48.64333333333334,8.32,121.61666666666667,68.28333333333335,27.320000000000004,2.2766666666666664,0.7266666666666667,141.98666666666668,3.303333333333333,876.2133333333335,28.66333333333333,0.4833333333333333,-0.1633333333333333,0.3699999999999999,0.2766666666666666,0.5133333333333333,1.4566666666666668,0.11,0.7633333333333333,-4.073333333333333,1.2033333333333334,0.3033333333333333,-0.5833333333333334,-0.1733333333333333,9.99
8258,-23.199318797041744,-54.435752365445815,0.1236,0.0992,0.1021,0.0925,0.1317,0.2905,0.3623,0.3338,0.048,0.0014,0.3249,0.1842,0.3918,53.16,4.1433333333333335,22.886666666666667,10.840000000000002,4.226666666666667,2.893333333333333,48.17333333333334,8.876666666666667,125.65,75.87666666666667,31.86,2.783333333333333,0.7733333333333334,148.08666666666667,2.9633333333333334,970.3166666666666,25.49,0.5033333333333333,-0.3,0.4766666666666667,0.3833333333333333,0.3333333333333333,1.1566666666666667,0.0866666666666666,0.6033333333333334,-3.8366666666666656,1.18,0.48,-0.3266666666666666,-0.2366666666666666,9.42
1920,-23.193464789603667,-54.43368532281018,0.1238,0.1004,0.1049,0.0954,0.1337,0.2941,0.3645,0.338,0.0462,0.0014,0.3246,0.1822,0.3982,53.16333333333333,4.066666666666667,21.19,11.146666666666668,4.25,2.9,46.53666666666666,9.006666666666666,145.8166666666667,74.67,33.89666666666667,2.7099999999999995,0.7433333333333333,175.14333333333337,2.983333333333334,982.3133333333334,27.95,0.5499999999999999,-0.3366666666666666,0.3733333333333333,0.02,0.3966666666666666,1.1366666666666667,-0.0033333333333333,0.4233333333333333,-3.713333333333333,1.79,0.4166666666666667,-0.25,-0.2533333333333333,9.54
4177,-23.19544360901936,-54.43377519422913,0.1225,0.0965,0.1003,0.0804,0.1267,0.3173,0.402,0.372,0.0487,0.0014,0.3198,0.1668,0.4337,55.14000000000001,4.0633333333333335,22.87333333333333,11.046666666666669,4.306666666666668,2.873333333333333,48.32333333333333,9.22,132.49333333333334,75.31,32.27333333333333,2.01,0.8133333333333334,149.4466666666667,1.5599999999999998,980.2433333333332,38.38333333333333,0.5666666666666668,-0.2366666666666666,0.3266666666666667,0.3233333333333333,0.34,1.17,-0.0133333333333333,0.5499999999999999,-3.603333333333333,1.343333333333333,0.4266666666666667,-0.34,-0.2866666666666666,8.973333333333334
6409,-23.19750487924403,-54.433865065648064,0.1219,0.0981,0.103,0.0895,0.1314,0.297,0.3703,0.3464,0.0494,0.0015,0.3186,0.1804,0.398,53.943333333333335,4.033333333333333,22.19333333333333,10.96,4.363333333333333,2.8966666666666665,48.973333333333336,8.416666666666666,138.51333333333335,77.16000000000001,29.75333333333333,2.09,0.8266666666666667,152.28333333333333,2.513333333333333,940.6533333333332,30.26,0.5533333333333333,-0.2633333333333333,0.3699999999999999,0.2733333333333334,0.3666666666666667,1.35,0.0533333333333333,0.6833333333333332,-4.206666666666667,1.616666666666667,0.5266666666666667,-0.4966666666666667,-0.2733333333333333,10.54
