,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
1297,-23.192970084749746,-54.43745992240569,0.1211,0.0938,0.0947,0.0725,0.1178,0.2969,0.3731,0.3654,0.047,0.0016,0.2925,0.1553,0.4011,51.18,3.99,19.74,11.62,4.41,2.79,48.57,8.5,144.9,81.19,32.68,3.12,0.87,172.08,3.31,970.94,22.52,0.61,-0.43,0.34,-0.24,0.61,1.41,-0.14,0.68,-4.13,1.82,0.65,-0.31,-0.26,11.02
3675,-23.19503135497441,-54.43745992240569,0.1234,0.1003,0.1049,0.1028,0.1355,0.277,0.3425,0.3088,0.0463,0.0014,0.3244,0.1891,0.3736,54.06,3.87,20.77,10.91,4.55,2.78,48.59,8.41,121.55,75.07,29.47,0.94,0.9,138.5,1.25,903.39,24.53,0.58,-0.19,0.28,0.06,0.43,1.68,0.01,0.75,-4.05,1.15,0.51,-0.44,-0.2,9.75
5934,-23.19709262519909,-54.43745992240569,0.1232,0.097,0.1012,0.0836,0.1289,0.3063,0.3864,0.3653,0.0475,0.0014,0.3206,0.1752,0.4157,54.5,3.93,21.08,11.03,4.48,2.89,48.15,8.46,111.81,68.79,25.75,2.0,0.76,133.94,2.79,899.95,25.45,0.51,-0.14,0.39,0.16,0.51,1.63,0.25,0.73,-3.91,0.88,0.33,-0.66,-0.16,9.75
8072,-23.19915389542377,-54.43754979382463,0.1225,0.0977,0.1015,0.087,0.1282,0.3025,0.3778,0.3472,0.0492,0.0015,0.3169,0.1739,0.4092,53.89,3.9,22.96,10.89,4.12,2.86,47.14,8.7,124.6,74.26,30.65,2.41,0.95,150.63,3.21,932.64,27.1,0.54,-0.23,0.29,0.48,0.4,1.08,0.1,0.56,-3.79,1.2,0.46,-0.38,-0.18,9.15
1611,-23.193217437176703,-54.435572622607936,0.1218,0.0979,0.1008,0.0954,0.1315,0.2836,0.3541,0.3145,0.0467,0.0014,0.3134,0.1754,0.3839,51.34630028539638,3.975919655469872,19.72059195753955,11.60934460413936,4.4073361510348406,2.789238900295669,48.57875264659981,8.498097250739171,145.6942075414697,80.9297039011187,32.48211407687387,3.0762367670009523,0.8696194501478344,173.64900704047892,3.219429135184579,972.8225801186636,22.7281607691346,0.6130443988173251,-0.4189640542871966,0.324397456061209,-0.243044398817325,0.6065750513305093,1.4096194501478343,-0.1415221994086625,0.6830443988173251,-4.129238900295668,1.851205087877582,0.6423890029566873,-0.3252219940866254,-0.2592389002956687,11.039788592312611
3972,-23.195278707401386,-54.43566249402688,0.1214,0.0959,0.0993,0.0772,0.1227,0.3273,0.4175,0.3844,0.0498,0.0014,0.3138,0.16,0.4496,56.07,3.83,23.65,11.57,4.26,2.9,48.01,9.93,125.03,77.51,33.92,1.09,0.75,147.78,1.17,1016.05,41.24,0.52,-0.23,0.03,0.42,0.47,1.01,0.01,0.46,-3.11,1.04,0.46,-0.24,-0.31,7.79
6128,-23.19725752681707,-54.43566249402688,0.1221,0.0953,0.1004,0.0792,0.1251,0.3211,0.4055,0.3791,0.0489,0.0015,0.3172,0.1666,0.4411,54.3237388369847,3.9073378504694616,21.14295041536261,11.013632892005722,4.447265784011445,2.8748919003129743,48.15377702492175,8.42474776739694,114.16812255948324,68.20330212882051,25.607732061280508,2.1007206645801717,0.749927933541983,136.39003016591266,2.938562980255752,885.1251771821061,25.613671079942776,0.5125180166145042,-0.1450360332290085,0.3711148753912179,0.1814031412232863,0.5112590083072521,1.5985247923186965,0.2285968587767136,0.7375540498435128,-3.9314031412232864,0.971907606429406,0.3136328920057222,-0.6738490913797736,-0.1537049584637393,9.817986448591617
8258,-23.199318797041744,-54.435752365445815,0.1236,0.0992,0.1021,0.0925,0.1317,0.2905,0.3623,0.3338,0.048,0.0014,0.3249,0.1842,0.3918,52.31,4.53,25.34,10.38,4.21,2.99,48.09,10.23,127.43,81.64,34.44,3.41,0.76,148.99,2.5,1147.88,24.84,0.47,-0.48,0.65,0.63,-0.03,0.86,0.05,0.36,-3.03,1.04,0.55,-0.25,-0.35,8.28
1920,-23.193464789603667,-54.43368532281018,0.1238,0.1004,0.1049,0.0954,0.1337,0.2941,0.3645,0.338,0.0462,0.0014,0.3246,0.1822,0.3982,53.98,4.15,23.56,10.6,4.15,3.0,46.53,9.29,128.27,68.01,33.63,3.38,0.67,157.36,3.21,995.19,35.15,0.43,-0.28,0.45,0.49,0.21,0.99,0.21,0.4,-3.43,1.21,0.21,-0.23,-0.23,8.34
4177,-23.19544360901936,-54.43377519422913,0.1225,0.0965,0.1003,0.0804,0.1267,0.3173,0.402,0.372,0.0487,0.0014,0.3198,0.1668,0.4337,55.87428476887133,3.8338948304702223,23.369572206143985,11.50573529724133,4.288237520909112,2.888315508589333,48.06647504181822,9.781996442131549,124.69114974909066,77.27241534131643,33.48670011018776,1.075394385736666,0.7646056142633341,146.8763993309084,1.1777896609404448,1005.0802099806184,39.61293457106459,0.5258422457053337,-0.2261051695297776,0.05434269043889,0.3849465257679983,0.4661051695297776,1.0752384103762254,0.01,0.4882375209091124,-3.2015285160502263,1.0507107837931116,0.464868538087778,-0.259474152351112,-0.2992892162068883,7.980846693040898
6409,-23.19750487924403,-54.433865065648064,0.1219,0.0981,0.103,0.0895,0.1314,0.297,0.3703,0.3464,0.0494,0.0015,0.3186,0.1804,0.398,52.31,4.07,23.11,10.65,4.26,3.0,49.17,8.47,181.23,90.76,31.92,2.24,0.98,184.29,1.6,975.52,31.54,0.74,-0.48,0.24,0.32,0.08,1.06,-0.09,0.55,-4.48,2.85,0.87,-0.51,-0.41,11.94
8442,-23.19948369865972,-54.43395493706701,0.1263,0.1035,0.1071,0.1074,0.1419,0.2719,0.3309,0.3056,0.046,0.0017,0.3397,0.2068,0.3629,42.08,4.36,25.03,9.82,4.12,3.01,46.93,8.92,146.83,78.86,31.75,2.31,0.86,172.1,1.7,927.39,39.74,0.59,-1.01,0.65,0.77,-0.09,0.98,0.17,0.43,-3.76,1.86,0.59,-0.38,-0.21,10.9
2229,-23.193712142030627,-54.43179802301243,0.1228,0.0968,0.1023,0.0862,0.1277,0.3011,0.3755,0.3504,0.0489,0.0014,0.318,0.1727,0.4083,53.98,4.15,23.56,10.6,4.15,3.0,46.53,9.29,128.27,68.01,33.63,3.38,0.67,157.36,3.21,995.19,35.15,0.43,-0.28,0.45,0.49,0.21,0.99,0.21,0.4,-3.43,1.21,0.21,-0.23,-0.23,8.34
4471,-23.19569096144632,-54.43197776585031,0.1215,0.0957,0.1,0.0777,0.1233,0.3227,0.4038,0.3756,0.05,0.0016,0.3111,0.1628,0.4389,55.29,4.49,24.2,10.66,4.11,2.94,48.37,9.32,150.9,73.35,33.43,4.0,0.79,162.06,2.26,1021.29,49.38,0.6,-0.29,0.67,0.49,0.12,0.82,-0.06,0.44,-3.65,1.84,0.31,-0.34,-0.35,9.38
6603,-23.197669780862004,-54.432067637269256,0.1239,0.1006,0.1037,0.1066,0.1364,0.2741,0.3367,0.3046,0.0463,0.0015,0.3138,0.1887,0.3692,52.31,4.07,23.11,10.65,4.26,3.0,49.17,8.47,181.23,90.76,31.92,2.24,0.98,184.29,1.6,975.52,31.54,0.74,-0.48,0.24,0.32,0.08,1.06,-0.09,0.55,-4.48,2.85,0.87,-0.51,-0.41,11.94
8625,-23.19964860027769,-54.432247380107135,0.1268,0.1042,0.1079,0.1085,0.1452,0.2766,0.3374,0.3167,0.046,0.0015,0.3447,0.2069,0.3733,42.08,4.36,25.03,9.82,4.12,3.01,46.93,8.92,146.83,78.86,31.75,2.31,0.86,172.1,1.7,927.39,39.74,0.59,-1.01,0.65,0.77,-0.09,0.98,0.17,0.43,-3.76,1.86,0.59,-0.38,-0.21,10.9
