,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
1297,-23.192970084749746,-54.43745992240569,0.1211,0.0938,0.0947,0.0725,0.1178,0.2969,0.3731,0.3654,0.047,0.0016,0.2925,0.1553,0.4011,55.2716493276332,3.624180739285078,19.229591143569337,11.3442761326488,4.263134887884801,2.770265594200275,48.2337910321646,8.497764528376726,138.07624999999985,74.75562500000004,29.456941352392867,2.4331249999850284,0.7849999999999708,206.5830395635166,2.3812499821626125,949.6682790191948,29.406041989421357,0.5706861932902042,-0.1434300003966898,-0.0654081397087357,-0.3204121310501684,0.521333149128025,1.3248231325967312,-0.1410027306842045,0.7560167622353019,-4.051813635079519,1.8173186421040115,0.4431249999999783,-0.5632257711015766,-0.2437479717714721,10.619129144069095
3675,-23.19503135497441,-54.43745992240569,0.1234,0.1003,0.1049,0.1028,0.1355,0.277,0.3425,0.3088,0.0463,0.0014,0.3244,0.1891,0.3736,52.01062007650792,4.122402616276617,22.36692985311681,10.435787881545709,4.263132244324096,2.838335221610913,48.36712799983752,8.604022355093031,138.07624999999985,74.75562500000005,29.234731142975978,2.4331249999893667,0.7849999999999325,158.9950315865259,2.381249992774681,934.6388878859564,29.77991349247737,0.5555604199564327,-0.3564680756539988,0.4831885329436013,0.3205039985592301,0.2067138492194023,1.298320223869867,-0.0052850214837495,0.7363254772104141,-3.9142172294267112,1.6380802430783123,0.4431249999999725,-0.5108847573220582,-0.243746876190163,10.066119489743595
5934,-23.19709262519909,-54.43745992240569,0.1232,0.097,0.1012,0.0836,0.1289,0.3063,0.3864,0.3653,0.0475,0.0014,0.3206,0.1752,0.4157,53.14520671725772,3.7562034534811928,21.56840036715748,10.899795358701756,4.263130806790537,2.772791922685103,48.35507359291552,8.242381218564477,138.07624999999985,74.75562500000005,27.84892700651878,2.433124999994928,0.7849999999999147,151.39561115476502,2.3812500157818715,922.5294551217636,28.95857374898468,0.5447727856986022,-0.1798234468375653,0.2453249402961206,0.3256362923362658,0.5182601576037749,1.3580107054526684,0.0854711677566599,0.7907631243641966,-4.09070458945555,1.5052761811807711,0.4431249999999733,-0.6001260167561967,-0.2437459846076631,10.088852675467828
8072,-23.19915389542377,-54.43754979382463,0.1225,0.0977,0.1015,0.087,0.1282,0.3025,0.3778,0.3472,0.0492,0.0015,0.3169,0.1739,0.4092,53.25524179529046,3.998178009402747,20.37247823432899,11.245332251280953,4.263127890339909,2.829393561688712,48.38266495634458,8.005573648503296,138.07624999999985,74.75562500000004,29.385431070304524,2.433125000002869,0.7849999999999207,145.99029284895218,2.38125002497849,923.7697999180886,28.55053815442341,0.538655897169827,-0.1908335114925909,0.4880229617972152,0.0427544367082705,0.6284104300729337,1.3469170226849403,0.1081123928045544,0.8760481998570478,-4.364632505130937,1.434383379178314,0.4431249999999901,-0.4440616252296321,-0.243746291985152,10.190686636468826
1611,-23.193217437176703,-54.435572622607936,0.1218,0.0979,0.1008,0.0954,0.1315,0.2836,0.3541,0.3145,0.0467,0.0014,0.3134,0.1754,0.3839,51.50689409395838,3.989618597517997,19.742056971322583,11.615903715667905,4.263133247004439,2.791429084332177,47.99296934614989,8.654675897858143,138.07624999999985,74.75562500000004,31.57352837646632,2.4331249999894844,0.7849999999999853,175.28798939155098,2.381249988582524,956.4698332756004,29.8519017089224,0.566767639117946,-0.4277092400604098,0.3385579836183318,-0.2402414499152298,0.6073416163465456,1.284101805775662,-0.1113307519893232,0.6623915888644965,-3.969283878689062,1.748068608004674,0.4431249999999895,-0.3790839305981613,-0.243749614438869,10.204467735419088
3972,-23.195278707401386,-54.43566249402688,0.1214,0.0959,0.0993,0.0772,0.1227,0.3273,0.4175,0.3844,0.0498,0.0014,0.3138,0.16,0.4496,54.019271052075226,3.871546036690052,20.79554603491188,10.90827646222012,4.263134086848488,2.781370150692016,48.17445129507389,8.613510463884145,138.07624999999985,74.75562500000005,30.22283097296221,2.433124999977265,0.7849999999999874,142.02878336695605,2.3812499912493053,945.349536040874,30.16065272693417,0.5551373142824308,-0.1902642654190632,0.2818434432532256,0.065334995850529,0.4296233850008709,1.3447863764112382,0.0112736626573657,0.7404480306215548,-3.915038701380155,1.5642444029044411,0.4431249999999883,-0.4388548848277949,-0.2437487481532077,9.76667209959504
6128,-23.19725752681707,-54.43566249402688,0.1221,0.0953,0.1004,0.0792,0.1251,0.3211,0.4055,0.3791,0.0489,0.0015,0.3172,0.1666,0.4411,54.51803598677455,3.9310549361671256,21.113973539719,11.033947908124274,4.26313050949756,2.8872982358294896,48.24611722910496,8.528890703742654,138.07624999999985,74.75562500000005,29.03957238466628,2.43312499999008,0.7849999999999797,135.78642298623558,2.381250009888621,939.438481113474,29.893845641096032,0.5429648988602979,-0.140277550474877,0.3883233170235257,0.1641547983724652,0.5092686464768947,1.3420828634860564,0.154764938464711,0.7291211201580532,-3.9277649167108337,1.4400149317997857,0.443124999999992,-0.5172852886612386,-0.2437481401660629,9.752109130824245
8258,-23.199318797041744,-54.435752365445815,0.1236,0.0992,0.1021,0.0925,0.1317,0.2905,0.3623,0.3338,0.048,0.0014,0.3249,0.1842,0.3918,53.80340685429008,3.9024219635480497,22.95753000883988,10.889408537872413,4.263122564539268,2.860346211495866,48.19150594681798,8.699976701684427,138.07624999999985,74.75562500000005,30.38903959499319,2.433125000006043,0.7850000000000192,149.05392196917964,2.381250021325666,941.2518009193458,29.50092449028629,0.5391620423082878,-0.2310723142048971,0.2921121473028891,0.4789212959342396,0.399538792218487,1.217127771354472,0.1065568305798662,0.5689810147337363,-3.869509744609597,1.414391815339021,0.4431250000000076,-0.4040807023030333,-0.2437481503520066,9.68949188709986
1920,-23.193464789603667,-54.43368532281018,0.1238,0.1004,0.1049,0.0954,0.1337,0.2941,0.3645,0.338,0.0462,0.0014,0.3246,0.1822,0.3982,54.28917972836419,4.060674238855565,20.329290759652743,11.213447002222429,4.263124872513051,2.91131618247461,47.57639172041019,9.16926215144688,138.07624999999985,74.75562500000004,33.312101148864805,2.433124999992736,0.7849999999999617,188.70631591691077,2.381249989309897,966.5486255968078,31.6070669522544,0.5616798402659857,-0.2992064129862548,0.3304981419891108,-0.1784383179789931,0.3681061802605498,1.13128591796527,-0.0429488390943232,0.2189791367872785,-3.6247667025066583,1.73869716738462,0.4431249999999881,-0.2759252580811802,-0.243751596611047,9.4643622326378
4177,-23.19544360901936,-54.43377519422913,0.1225,0.0965,0.1003,0.0804,0.1267,0.3173,0.402,0.372,0.0487,0.0014,0.3198,0.1668,0.4337,55.9465470139883,3.840683339550372,23.62588924210643,11.55506486913683,4.263124985452508,2.900675278440101,47.95246516480976,9.40474630615505,138.07624999999985,74.75562500000005,32.45063056132476,2.4331249999879425,0.7850000000000001,150.0656956783791,2.3812499895534422,963.4699545708056,32.7855103347553,0.5534252909050301,-0.2310892960513084,0.0411532663071146,0.4153327048637647,0.4646218266889296,1.1488377642408047,0.0041978666225814,0.4656607826394794,-3.507326859472856,1.579761484907006,0.4431249999999996,-0.3165838476067447,-0.2437517327624615,9.218113585423165
6409,-23.19750487924403,-54.433865065648064,0.1219,0.0981,0.103,0.0895,0.1314,0.297,0.3703,0.3464,0.0494,0.0015,0.3186,0.1804,0.398,54.81614822330636,4.106211315032369,22.45153761326057,11.176866022033984,4.263123213997975,2.8064555604388617,48.2002383356328,8.700407557883626,138.07624999999985,74.75562500000005,31.455879506088245,2.433124999999296,0.7850000000000394,142.45086918615078,2.3812500037797117,958.2570515630788,31.99237874386944,0.5443413045081366,-0.1807552152912069,0.4790508298818653,0.345288161605155,0.4943306307239196,1.1915011011597312,0.0258089025327714,0.7393565274812874,-3.9620985806061073,1.5139214537282883,0.4431250000000156,-0.3751113100289847,-0.2437512638975092,9.759417345969528
