,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0
mean,0.028414183475379398,0.026156202390392656,0.041857361298194354,0.02306968487179634,0.00695283985023853,0.034646758637154676,0.017291695022933713,0.047202765494838005,0.06290915862629542,0.04470646743393941,0.06157495858968672,0.0836880750034741,0.09024628863029867,0.07596707998542983,0.30349597974748954,0.06284672314917404,0.13287255228963255,0.09018981464802682,0.2915163142664988,0.3270425989841936,2.624271255244079,2.1707288228498705,0.14499978766165,3.3372238401421566,0.31697316769450967,0.07257943350309334,0.2377224715760789,0.28123826428622617,0.26549485433999626,0.2662546347692404,0.0800999668492784
std,0.03234477028846379,0.02052492709452552,0.02669580957343454,0.016855337363644456,0.006221603746171936,0.04787835237103419,0.01575437692714228,0.037761683660676004,0.041215702482259794,0.03205055488705081,0.05023915831025294,0.09007381715644061,0.062366471149273746,0.04626842422119822,0.2660697181472714,0.049831435904232765,0.08847165373386037,0.0731205472106588,0.2202343760529019,6.61992250635649,85.44322726489688,34.46646703666909,0.12977263899488922,63.864402234797716,0.41378998110606663,0.06478920697550274,0.18730924378369995,0.26227453677758283,0.20316651903124885,0.25756623904091375,0.06135692311778398
min,1.1115099467394608e-05,4.767786143095209e-06,4.094102418765904e-06,3.704716355211436e-06,2.1767354268529706e-07,3.081951782361682e-06,1.0348989063039812e-06,5.021504400195345e-07,4.774304203802938e-06,4.6630170420494526e-07,3.820343866817403e-06,1.491397994024032e-05,5.541331124417296e-06,1.4666564242600288e-05,8.201242211976579e-05,2.2279158856699823e-05,1.852823856912993e-05,9.011596171040873e-06,0.0001194558968139,2.918979396041397e-06,9.16231916707674e-05,0.0001247492946432,2.518566352611621e-05,3.939111295342392e-05,1.6021517106220149e-06,1.7839614646355412e-05,5.324723909324663e-05,2.219456580658966e-06,4.750554815597347e-05,0.0001842977656014,8.823996050971357e-06
25%,0.009129327155855599,0.0105772250810016,0.02097698746731265,0.0089897626958514,0.00257503061793265,0.010301896141923849,0.00635301118514335,0.01742262137721155,0.02974901902601145,0.0197935240515633,0.02284985002256245,0.0296841865428518,0.0386094114595154,0.03796176865016475,0.12926449827087877,0.026875392621380348,0.0580001180901179,0.0355663969122308,0.12037206870190514,0.06364357554591141,0.16936813086616398,0.11285622951700425,0.05545677994435995,0.45949860413767274,0.09328884507148849,0.021377776334426397,0.0903411409553587,0.0834428947130128,0.1086969365915289,0.0740634787401399,0.0296853188758785
50%,0.0199129610416645,0.0215673382173578,0.0385242148140338,0.0199758730291277,0.0052575870288859,0.0208183192990958,0.0133913896378066,0.0360351625168028,0.0587795843400741,0.0383337965094045,0.0526336407045218,0.0628921176943623,0.0833265940606619,0.0734146842832854,0.2284076947594983,0.0492295670882665,0.1214989107628128,0.0721147631209567,0.2528107725580952,0.1341222946906608,0.3684689968718759,0.2323186566709452,0.1137985917922774,0.7682689034851277,0.1907688749777973,0.0504882701015676,0.2006527064895604,0.2164815791694006,0.2092964391022454,0.1874168207235161,0.0664851899732473
75%,0.03401068797093,0.0366561965406988,0.058262092360426454,0.0343781035625509,0.00942534142165595,0.0379170093450443,0.02254181916291225,0.06885225448933015,0.0895484334677456,0.0630778026526071,0.08670141952191684,0.10629713229121579,0.13036899691503606,0.10910025458161529,0.36727243455948577,0.08458327748765965,0.19825976801879236,0.1237515271921351,0.4097553854406446,0.2267146293896315,0.8529320460074534,0.501913721690946,0.193113796260806,1.2816549087649172,0.31876225701228983,0.11353674979586856,0.32974121339107126,0.3716548147817589,0.3847458426392683,0.359867784213317,0.11767742220943085
80%,0.03866516156798757,0.04141583215062913,0.06335038515818904,0.03785307589388536,0.01083102333412754,0.04610608856765231,0.02555166139649056,0.08126102630723551,0.096995791603586,0.06982838671850981,0.09363096287671646,0.12003158391214817,0.14213428587670593,0.11715358945960688,0.4349632312044361,0.0981480946064945,0.21150977770446264,0.1429929763930049,0.44747936674409633,0.2608646333715003,1.3194461374101782,0.7499741171870735,0.214357495276643,1.5392232236760297,0.3824242888474863,0.12728774987550157,0.3693669666015115,0.4359087069027971,0.4307978486783885,0.41247199273686097,0.13358210806212908
85%,0.04624169834840114,0.0471043677154695,0.0698690581292141,0.041839704403565034,0.012517896979907779,0.059175539969537554,0.02984839072343847,0.0952346632179266,0.10527499047654232,0.07911608304188641,0.10143881678438785,0.13875192814996093,0.1549781543321509,0.1263884998973687,0.5461475629730523,0.11797080336340278,0.2280940015680051,0.1686713215084745,0.4932431449724195,0.3075655706839107,1.718349608195545,1.4625144454164383,0.24060007156872232,1.8822833998059287,0.5319615492953415,0.14101553596093155,0.42294191328599734,0.5001678588632273,0.49417054157135515,0.5097962411408717,0.1521699891992807
90%,0.05657302317550722,0.054210272855711644,0.07750007474830249,0.04708941211254921,0.014790324464782782,0.07966010475271663,0.03615395289453606,0.10998799423003143,0.11644449643023246,0.09037808644965768,0.1167815904122145,0.16712513113600352,0.17206919618817582,0.13662606862933005,0.6907860873025164,0.14211406135548044,0.24666276942474707,0.20123782360763426,0.5696563184482552,0.37495077799775783,2.3856947358042873,2.3720891648072313,0.29185913258363017,2.6021007350078813,0.7696606894098267,0.1612281668931044,0.4936609284300412,0.6677358718799001,0.5856551824977756,0.6651449802372198,0.17223984107962292
