,Unnamed: 0,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0
mean,4727.0,0.04805148351971439,0.02899357866816182,0.04506277347762734,0.03859036023885492,0.011319660834577428,0.0409043012584695,0.032566242520425635,0.048409905629252646,0.06980035845912312,0.044722891426401776,0.06582369291321062,0.09555570657235064,0.08414291826096021,0.0827476397182326,0.2872442453890968,0.0582595026214658,0.14023077260063316,0.1019897092491341,0.33634260073844774,0.3844163437798733,2.6206988539796474,3.6625531163941,0.14912238819700177,2.7825124316355847,0.3223686254141106,0.08289331067766902,0.2524477207916746,0.2377521072275035,0.2534168594052244,0.29521783468027946,0.08471804310644729
std,2729.56773134502,0.06915589948846813,0.025071141740561693,0.037094356608383304,0.042252989240393266,0.016500036879718398,0.05093400602892909,0.04100611082081395,0.03997679938274849,0.053941120468127886,0.04269232332590566,0.05225322825855486,0.0922952980648597,0.0613310049334212,0.05827417862461352,0.2444288758211159,0.04770857640609108,0.09462900520015688,0.0784010378059872,0.2507404642738622,7.750680987746819,75.4509009035006,73.5137121877854,0.1100138551997486,59.2366140305872,0.41387471196084297,0.06807790823869193,0.20797158826815648,0.21177549996751027,0.19159807941016682,0.30916332426394344,0.07076834494773838
min,0.0,2.3920556486623188e-06,2.2261475747152576e-06,9.79090080574657e-06,2.86913245152894e-06,4.567862752875889e-07,6.552353425835124e-06,4.435831516743686e-06,4.280609160789109e-06,2.3389077768657612e-05,2.185925345666492e-06,2.3110137234733726e-05,6.088227013285008e-06,5.1431126819088525e-06,8.590637233556287e-05,0.0001839320889175,4.923260016143048e-06,1.0865802352444686e-05,2.1320201755640185e-05,7.943802882358441e-05,2.191193423446405e-05,1.3604407712252987e-05,4.571776227375501e-06,2.5566918004745373e-05,0.0006454164629941,8.310962668703517e-05,1.3234787018716296e-06,3.584302876262282e-05,2.742751283044375e-06,8.204917572809501e-05,5.832365403268717e-05,1.7087858814315345e-06
25%,2363.5,0.01404166702178925,0.011495114545125602,0.0202292968041635,0.0157026768099649,0.00347214409351345,0.01157628197103215,0.0109703387215381,0.01923434137093875,0.02980851861767165,0.016942793349110703,0.0308566640240625,0.036771656124006694,0.0348564202553753,0.040385533296725645,0.1277344627518442,0.0248006372876708,0.06222578378245995,0.0440209829057173,0.14232208238092425,0.06956111411380225,0.239461909728168,0.15756769210498162,0.061210865092240455,0.5508551010263008,0.1132109657620446,0.029808665318336452,0.09599412228986565,0.07701331156274055,0.10788144620292994,0.08464510061018035,0.02917437480510765
50%,4727.0,0.0297002572400459,0.023504339917231,0.0386389277833103,0.0292895680333871,0.0078064795814692,0.0270417311659327,0.0244868992941942,0.0395496285819973,0.0588279322821868,0.0344771156334397,0.0556829538066309,0.0754143943217338,0.0721360130480375,0.0760616369414212,0.2254559985969521,0.0493283804382892,0.128105615465163,0.0874457852567494,0.2856408791255327,0.1539253278383696,0.4411830712556199,0.2895809939858664,0.1259191190378953,0.9125093434995608,0.2036226332104274,0.0667233021512085,0.202322844796709,0.1751417078778872,0.212200147302304,0.191645805078293,0.0687526431999947
75%,7090.5,0.05186425169279385,0.0387505970248562,0.06264978683885535,0.04592490454126215,0.01361056783047805,0.048987309066140544,0.03978010776320035,0.06878225442926944,0.0987574725926486,0.0598136625441821,0.0838409496420106,0.126677198543874,0.12221595184015716,0.11322988517545585,0.3569004436270118,0.0742467670751889,0.20596848589544356,0.13876952477169285,0.47852387898022763,0.2869962071758557,1.0829059876356386,0.4808266822624746,0.2220497099661754,1.2495836215138358,0.3276175626061864,0.11727450663805955,0.3356793364371917,0.3362343934822004,0.3538400705154262,0.37199045973753064,0.12196314028561425
80%,7563.200000000001,0.058745489520319764,0.04332732963838994,0.06949334962605536,0.05142167688051776,0.015474851773326222,0.058028415023595174,0.04482769409743902,0.07675941978894361,0.10933323460342523,0.06682539523755038,0.09225177020137953,0.1405959165006957,0.1357667410469208,0.12264632093703608,0.40521974054505516,0.0826558007996042,0.22183944204806136,0.15640158136932664,0.5372846674286442,0.3168608579922564,1.546809650784214,0.6338640675189942,0.24039898560858955,1.3686900813311251,0.3691357659511981,0.13238445435377236,0.38544012390855026,0.38965680881419945,0.39023299556738045,0.4368825809349546,0.13572890165559487
85%,8035.9,0.06799340273765267,0.04927341586197498,0.07677187986193514,0.058491199745899045,0.017718804430904626,0.07017796065994977,0.051736683944707984,0.08685382164221565,0.11988285662558364,0.07701662216443825,0.10419043793372668,0.15741028372041316,0.1499687135783353,0.13293730598132092,0.49548631877498156,0.09685587918624806,0.2406574623654744,0.17765296191513952,0.6003408916803866,0.3528256408803973,1.9047088002381836,1.4338875832737223,0.2617929944528831,1.5765063238921888,0.48480611926738465,0.15073474497095646,0.45771124632610616,0.4633539599814195,0.4392663329611481,0.5686377727663051,0.15380610877921555
90%,8508.6,0.08396937260477669,0.05970981504760463,0.08547293298360038,0.06967351604374508,0.021364301438709044,0.08761446363071536,0.06085667915539348,0.09981810237476228,0.1360796864215495,0.09324416873614234,0.12288570860466236,0.18517622436629355,0.17157954105772016,0.1466783021638831,0.6271513858051616,0.12240270964996755,0.26315942774174506,0.2027164012065777,0.6770673094114207,0.43759838050237976,2.5065223572010384,2.5429796968935143,0.29137432575313,1.9920735361108315,0.7141789493373598,0.17323494419820715,0.5738965958682437,0.5286461276512912,0.5348151324851961,0.7141948712660466,0.1788666986385859
