N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
53.04625,4.04875,22.230625,10.90375,4.2631250000000005,2.88,48.08125,8.808125,138.07625000000002,74.755625,31.101875,2.433125,0.7849999999999999,160.64000000000001,2.38125,952.7449999999999,31.143124999999998,0.5525,-0.31875,0.371875,0.256875,0.34125,1.200625,0.028124999999999997,0.5931249999999999,-3.860625,1.596875,0.443125,-0.40812499999999996,-0.24375,9.849374999999998
3.2370374830493804,0.2500899838058294,1.8790510681369645,0.4739883964824454,0.1388389354612026,0.08793937305515281,1.293645366139165,0.6559900278713592,19.32297591814815,6.3694583430095015,3.060340326935334,0.8415598116988874,0.10782702196883055,22.018858281028105,0.930984246196823,85.12190936141725,7.64643247425447,0.08767363723871997,0.21614424196201326,0.20887695740156054,0.3145095388060591,0.22852789764052878,0.2782197872186663,0.12226848871779407,0.19673056871433747,0.4487533658183896,0.5971233122228606,0.1702045338213214,0.1729438733616584,0.07948794457861728,1.1857963217461365
42.08,3.62,19.23,9.82,4.09,2.77,44.51,7.7,111.81,64.13,24.62,0.94,0.61,133.94,0.93,782.2,22.52,0.41,-1.01,-0.07,-0.32,-0.09,0.82,-0.18,0.19,-4.69,0.88,0.2,-0.77,-0.41,7.79
52.31,3.8925,20.6675,10.6375,4.1425,2.7975,47.7925,8.44,124.84,71.2225,30.189999999999998,1.9925,0.69,146.995,1.56,902.53,25.2975,0.5075000000000001,-0.3775,0.27,0.055,0.18,1.005,-0.065,0.4375,-4.115,1.1425,0.325,-0.4575,-0.28,9.2325
53.935,4.029999999999999,22.405,10.905000000000001,4.24,2.875,48.275,8.6,129.405,74.305,31.67,2.3600000000000003,0.76,154.97500000000002,2.465,958.715,27.545,0.535,-0.255,0.365,0.33,0.41500000000000004,1.07,0.01,0.6200000000000001,-3.85,1.455,0.44,-0.365,-0.235,9.75
54.63,4.135,23.5825,11.227500000000001,4.35,2.9525,48.8925,9.245000000000001,147.84750000000003,77.8475,33.480000000000004,3.0825,0.8625,172.085,3.1875,1000.405,35.7525,0.6025,-0.1875,0.49,0.4825,0.5125,1.4024999999999999,0.10250000000000001,0.7525,-3.6325,1.8450000000000002,0.52,-0.295,-0.1875,10.8475
55.02,4.15,23.65,11.25,4.35,2.99,49.17,9.29,150.9,78.86,33.63,3.12,0.87,172.1,3.21,1016.05,37.56,0.61,-0.18,0.49,0.49,0.52,1.41,0.11,0.76,-3.58,1.86,0.55,-0.25,-0.18,10.9
55.2225,4.3075,24.0625,11.317499999999999,4.395,2.9975,49.26,9.3125,160.935,80.6075,33.847500000000004,3.315,0.8925000000000001,181.2425,3.21,1019.3199999999999,39.195,0.61,-0.17250000000000001,0.61,0.49,0.52,1.5,0.155,0.7675000000000001,-3.4675000000000002,2.2199999999999998,0.58,-0.2425,-0.18,10.99
55.42,4.425000000000001,24.615000000000002,11.455,4.445,3.0,49.33,9.625,165.025,81.41499999999999,34.18,3.395,0.925,190.14,3.26,1020.8499999999999,40.49,0.6499999999999999,-0.15500000000000003,0.65,0.56,0.565,1.58,0.19,0.78,-3.27,2.49,0.62,-0.235,-0.16999999999999998,11.28
55.68,4.5,25.1075,11.5825,4.4975000000000005,3.0025,49.427499999999995,10.004999999999999,169.635,83.92,34.675,3.5575,0.9575,200.32,3.475,1052.9375,43.275000000000006,0.7024999999999999,-0.14,0.655,0.665,0.615,1.6424999999999998,0.22,0.8150000000000001,-3.09,2.6925,0.7050000000000001,-0.225,-0.1475,11.639999999999999
55.992,4.524,25.2935,11.612499999999999,4.5395,3.0084999999999997,49.5655,10.185,178.911,89.392,35.239000000000004,3.9114999999999998,0.9754999999999999,210.712,3.871,1128.8915,48.159,0.7324999999999999,-0.14,0.667,0.749,0.627,1.6724999999999999,0.244,0.875,-3.042,2.8185000000000002,0.837,-0.213,-0.11750000000000002,11.879999999999999
56.07,4.53,25.34,11.62,4.55,3.01,49.6,10.23,181.23,90.76,35.38,4.0,0.98,213.31,3.97,1147.88,49.38,0.74,-0.14,0.67,0.77,0.63,1.68,0.25,0.89,-3.03,2.85,0.87,-0.21,-0.11,11.94
13.990000000000002,0.9100000000000001,6.109999999999999,1.799999999999999,0.45999999999999996,0.23999999999999977,5.090000000000003,2.5300000000000002,69.41999999999999,26.63000000000001,10.760000000000002,3.06,0.37,79.37,3.04,365.68000000000006,26.860000000000003,0.33,0.87,0.74,1.09,0.72,0.86,0.43,0.7,1.6600000000000006,1.9700000000000002,0.6699999999999999,0.56,0.3,4.1499999999999995
0.06102292778564706,0.06176967800082233,0.08452533692313935,0.04347021863876605,0.03256740899251197,0.030534504533039172,0.026905402129502976,0.07447555840446851,0.139944240361019,0.08520373340480401,0.09839729363375468,0.3458761106391523,0.13735926365456122,0.13706958591277454,0.3909645128385608,0.08934385314162474,0.24552553651101072,0.15868531626917642,-0.678099582625924,0.5616859358697426,1.224368034281495,0.6696788209246265,0.2317291304267913,4.347324043299345,0.3316848366100527,-0.1162385276524888,0.3739324068714587,0.3841004994557323,-0.4237522165063606,-0.32610438801484015,0.12039305252832151
2.3200000000000003,0.24249999999999972,2.914999999999999,0.5900000000000016,0.20749999999999957,0.15500000000000025,1.1000000000000014,0.8050000000000015,23.00750000000002,6.625,3.2900000000000063,1.09,0.1725000000000001,25.090000000000003,1.6275,97.875,10.454999999999998,0.09499999999999997,0.19,0.21999999999999997,0.4275,0.33249999999999996,0.39749999999999996,0.1675,0.31499999999999995,0.4825000000000004,0.7025000000000001,0.195,0.16250000000000003,0.09250000000000003,1.6150000000000002
-2.825964289782206,0.49829694244485606,0.05122966026675132,-0.5303417971601023,0.6272152765659189,0.23930503759870309,-1.4884741938910235,0.7189976660685088,0.9161687244967934,0.8493672880576597,-0.814974541474683,-0.03378894711919159,0.30192525570228107,1.1181314508948943,-0.08745523763589583,0.1408515348822294,1.0426549969131784,0.46499932779520403,-2.3917465304270866,-0.4822665105402943,-0.4731053061634484,-0.6226281521347494,0.3959322261428585,0.14424240916848596,-0.4219778273136665,0.1681209599971914,0.8942871406553592,0.8831591872123014,-0.9965431882880217,-0.5353537555350256,0.045879236858320134
9.585373062498817,0.03175591971663616,-1.0631059185690748,0.3465951921639254,-0.46685617306976956,-1.4279821248905682,2.801762893713411,0.3935886975669298,0.07141608622569251,1.5454374369704773,0.11285451889793263,-0.35232067209798723,-0.8482265698488014,0.8319239123412787,-1.2628416655705372,1.2439563801561544,0.42398008198263337,0.20723684544976528,6.945929373637596,0.10896301613432957,-0.5184679363306497,-0.8772004607984232,-1.2626985328485043,-0.5570281272658857,-0.7342734443055061,-0.052896844033397006,-0.1283420288165802,1.3986954810205958,0.04963633086055452,-0.0794553409017924,-0.6343145495563962
