latitude,longitude,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
-23.1929900607639,-54.4374797743056,55.55,3.62,19.23,11.34,4.34,2.77,48.8,8.45,165.77,74.35,27.48,1.97,0.86,213.31,0.93,1020.41,27.99,0.69,-0.14,-0.07,-0.32,0.52,1.4,-0.18,0.76,-4.11,2.64,0.45,-0.71,-0.24,11.54
-23.1950430989583,-54.43749140625,51.79,4.13,22.42,10.42,4.09,2.84,49.37,8.82,138.66,69.7,30.43,3.07,0.69,156.55,1.44,893.34,37.56,0.51,-0.36,0.49,0.33,0.2,1.01,0.01,0.73,-3.74,1.65,0.3,-0.43,-0.19,9.44
-23.1970961371528,-54.4375030381944,53.1,3.75,21.58,10.9,4.22,2.77,48.18,8.18,130.54,64.13,24.62,2.8,0.68,153.4,3.97,782.2,26.75,0.53,-0.18,0.24,0.33,0.52,1.38,0.08,0.79,-4.08,1.61,0.2,-0.77,-0.11,10.29
-23.1991491753472,-54.4375146701389,53.28,4.0,20.36,11.25,4.35,2.83,49.29,7.7,124.92,71.73,30.49,2.53,0.61,144.64,3.18,830.43,24.53,0.5,-0.19,0.49,0.04,0.63,1.53,0.11,0.89,-4.69,1.3,0.43,-0.35,-0.18,10.83
-23.1932264322917,-54.4355969618056,51.18,3.99,19.74,11.62,4.41,2.79,48.57,8.5,144.9,81.19,32.68,3.12,0.87,172.08,3.31,970.94,22.52,0.61,-0.43,0.34,-0.24,0.61,1.41,-0.14,0.68,-4.13,1.82,0.65,-0.31,-0.26,11.02
-23.1952536024306,-54.4356471354167,54.06,3.87,20.77,10.91,4.55,2.78,48.59,8.41,121.55,75.07,29.47,0.94,0.9,138.5,1.25,903.39,24.53,0.58,-0.19,0.28,0.06,0.43,1.68,0.01,0.75,-4.05,1.15,0.51,-0.44,-0.2,9.75
-23.1972807725694,-54.4356973090278,54.5,3.93,21.08,11.03,4.48,2.89,48.15,8.46,111.81,68.79,25.75,2.0,0.76,133.94,2.79,899.95,25.45,0.51,-0.14,0.39,0.16,0.51,1.63,0.25,0.73,-3.91,0.88,0.33,-0.66,-0.16,9.75
-23.1993079427083,-54.4357474826389,53.89,3.9,22.96,10.89,4.12,2.86,47.14,8.7,124.6,74.26,30.65,2.41,0.95,150.63,3.21,932.64,27.1,0.54,-0.23,0.29,0.48,0.4,1.08,0.1,0.56,-3.79,1.2,0.46,-0.38,-0.18,9.15
-23.1934628038194,-54.4337141493056,54.33,4.06,20.27,11.22,4.19,2.91,44.51,9.23,164.28,74.81,35.38,1.63,0.69,195.99,2.43,980.81,26.18,0.61,-0.3,0.33,-0.19,0.37,1.01,-0.08,0.19,-3.58,2.34,0.39,-0.21,-0.27,9.26
-23.1954641059028,-54.4338028645833,56.07,3.83,23.65,11.57,4.26,2.9,48.01,9.93,125.03,77.51,33.92,1.09,0.75,147.78,1.17,1016.05,41.24,0.52,-0.23,0.03,0.42,0.47,1.01,0.01,0.46,-3.11,1.04,0.46,-0.24,-0.31,7.79
-23.1974654079861,-54.4338915798611,55.02,4.1,22.39,11.2,4.35,2.8,49.6,8.32,122.5,71.93,31.59,2.03,0.74,138.62,3.15,946.49,33.79,0.41,-0.17,0.48,0.34,0.51,1.36,0.0,0.77,-4.23,1.12,0.38,-0.32,-0.25,9.93
-23.1994667100694,-54.4339802951389,52.31,4.53,25.34,10.38,4.21,2.99,48.09,10.23,127.43,81.64,34.44,3.41,0.76,148.99,2.5,1147.88,24.84,0.47,-0.48,0.65,0.63,-0.03,0.86,0.05,0.36,-3.03,1.04,0.55,-0.25,-0.35,8.28
-23.1936991753472,-54.4318313368056,53.98,4.15,23.56,10.6,4.15,3.0,46.53,9.29,128.27,68.01,33.63,3.38,0.67,157.36,3.21,995.19,35.15,0.43,-0.28,0.45,0.49,0.21,0.99,0.21,0.4,-3.43,1.21,0.21,-0.23,-0.23,8.34
-23.195674609375,-54.43195859375,55.29,4.49,24.2,10.66,4.11,2.94,48.37,9.32,150.9,73.35,33.43,4.0,0.79,162.06,2.26,1021.29,49.38,0.6,-0.29,0.67,0.49,0.12,0.82,-0.06,0.44,-3.65,1.84,0.31,-0.34,-0.35,9.38
-23.1976500434028,-54.4320858506944,52.31,4.07,23.11,10.65,4.26,3.0,49.17,8.47,181.23,90.76,31.92,2.24,0.98,184.29,1.6,975.52,31.54,0.74,-0.48,0.24,0.32,0.08,1.06,-0.09,0.55,-4.48,2.85,0.87,-0.51,-0.41,11.94
-23.1996254774306,-54.4322131076389,42.08,4.36,25.03,9.82,4.12,3.01,46.93,8.92,146.83,78.86,31.75,2.31,0.86,172.1,1.7,927.39,39.74,0.59,-1.01,0.65,0.77,-0.09,0.98,0.17,0.43,-3.76,1.86,0.59,-0.38,-0.21,10.9
