latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff
-23.191156166952027,-54.43835863659509,0.1275,0.1005,0.105,0.1019,0.1537,0.2568,0.309,0.2879,0.0406,0.0013,0.2998,0.1957,0.3267
-23.191156166952027,-54.43826876517616,0.1278,0.103,0.1055,0.117,0.1562,0.2499,0.3,0.2709,0.0406,0.0013,0.3028,0.1976,0.3247
-23.191156166952027,-54.43817889375721,0.128,0.1039,0.1067,0.1148,0.1573,0.2497,0.3006,0.2877,0.0407,0.0013,0.3053,0.1996,0.3269
-23.191156166952027,-54.43808902233828,0.1282,0.1057,0.1067,0.1156,0.1567,0.2588,0.3148,0.3018,0.0407,0.0013,0.3078,0.2022,0.3346
-23.191156166952027,-54.43799915091933,0.1282,0.1093,0.1077,0.127,0.1564,0.2646,0.3231,0.2906,0.0408,0.0013,0.3091,0.2044,0.339
-23.191238617761016,-54.438448508014034,0.1268,0.1018,0.1036,0.1055,0.1442,0.262,0.3201,0.3033,0.041,0.0014,0.2991,0.1829,0.3402
-23.191238617761016,-54.43835863659509,0.1272,0.0999,0.1045,0.0966,0.1439,0.2606,0.3179,0.301,0.0409,0.0013,0.3029,0.1848,0.3401
-23.191238617761016,-54.43826876517616,0.1275,0.1024,0.1052,0.1085,0.1403,0.2553,0.3122,0.2852,0.0409,0.0013,0.3019,0.1818,0.3419
-23.191238617761016,-54.43817889375721,0.1277,0.0997,0.1032,0.097,0.1378,0.2555,0.3131,0.2971,0.041,0.0013,0.3009,0.1803,0.3447
-23.191238617761016,-54.43808902233828,0.1279,0.0978,0.1,0.0908,0.1373,0.2636,0.3236,0.3109,0.0411,0.0013,0.3005,0.1809,0.349
-23.191238617761016,-54.43799915091933,0.1279,0.0997,0.1002,0.0987,0.138,0.2687,0.3298,0.2927,0.0412,0.0013,0.3002,0.1826,0.3504
-23.191238617761016,-54.43790927950039,0.128,0.0991,0.1027,0.1039,0.1399,0.2666,0.3263,0.2873,0.0412,0.0013,0.3,0.1856,0.346
-23.191238617761016,-54.43781940808145,0.128,0.0988,0.1047,0.1055,0.1429,0.2625,0.3199,0.296,0.0413,0.0014,0.3012,0.1899,0.3408
-23.191238617761016,-54.43772953666251,0.1279,0.1021,0.1047,0.1137,0.1474,0.2578,0.3123,0.2906,0.0412,0.0014,0.3052,0.196,0.3375
-23.191238617761016,-54.437639665243566,0.1277,0.1058,0.106,0.1279,0.1525,0.2541,0.3057,0.2771,0.0411,0.0014,0.3104,0.2027,0.3352
-23.19132106857,-54.438448508014034,0.1266,0.1002,0.1031,0.0945,0.1425,0.2623,0.3211,0.3128,0.0413,0.0014,0.3043,0.1825,0.3441
-23.19132106857,-54.43835863659509,0.1269,0.1002,0.1017,0.0932,0.139,0.2617,0.3213,0.308,0.0412,0.0013,0.3071,0.1806,0.3474
-23.19132106857,-54.43826876517616,0.1271,0.1017,0.1032,0.1002,0.1313,0.2583,0.319,0.2948,0.0413,0.0013,0.3025,0.1747,0.3508
