,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
515,-22.319293189449628,-52.67056478507857,0.0219,0.0219,0.0489,0.0199,0.0837,0.4604,0.6233,0.6242,0.6412,0.6401,0.2534,0.1179,47.67041015625,4.806632995605469,16.79022216796875,7.8583984375,2.691192626953125,1.7182159423828125,30.1861572265625,9.221343994140623,165.6015625,87.6873779296875,40.03515625,0.6969413757324219,1.77337646484375,143.6171875,5.562957763671875,1096.88671875,13.720817565917969,0.3450908660888672,-0.12738037109375,1.2608757019042969,0.4140167236328125,-0.6054534912109375,0.1544189453125,-1.330352783203125,-0.7180290222167969,-1.9220657348632808,2.24786376953125,0.701019287109375,-0.4583740234375,0.8140106201171875,10.9014892578125
535,-22.319293189449628,-52.66876735669975,0.0211,0.0232,0.0495,0.018,0.0821,0.4729,0.6302,0.623,0.6497,0.6388,0.258,0.1188,47.67041015625,4.806632995605469,16.79022216796875,7.8583984375,2.691192626953125,1.7182159423828125,30.1861572265625,9.221343994140623,165.6015625,87.6873779296875,40.03515625,0.6969413757324219,1.77337646484375,143.6171875,5.562957763671875,1096.88671875,13.720817565917969,0.3450908660888672,-0.12738037109375,1.2608757019042969,0.4140167236328125,-0.6054534912109375,0.1544189453125,-1.330352783203125,-0.7180290222167969,-1.9220657348632808,2.24786376953125,0.701019287109375,-0.4583740234375,0.8140106201171875,10.9014892578125
555,-22.319293189449628,-52.66696992832095,0.0207,0.0202,0.0491,0.0184,0.0812,0.4714,0.6233,0.6225,0.6471,0.6561,0.2605,0.1178,47.67041015625,4.806632995605469,16.79022216796875,7.8583984375,2.691192626953125,1.7182159423828125,30.1861572265625,9.221343994140623,165.6015625,87.6873779296875,40.03515625,0.6969413757324219,1.77337646484375,143.6171875,5.562957763671875,1096.88671875,13.720817565917969,0.3450908660888672,-0.12738037109375,1.2608757019042969,0.4140167236328125,-0.6054534912109375,0.1544189453125,-1.330352783203125,-0.7180290222167969,-1.9220657348632808,2.24786376953125,0.701019287109375,-0.4583740234375,0.8140106201171875,10.9014892578125
2406,-22.32111877314929,-52.67236221345738,0.0197,0.021,0.0484,0.0188,0.0805,0.4596,0.6201,0.6204,0.6436,0.6389,0.2522,0.1157,45.427978515625,5.039451599121094,17.52069091796875,7.6279754638671875,2.6698532104492188,1.781362533569336,31.69097900390625,9.72894287109375,149.9560546875,85.6737060546875,41.153839111328125,1.0030517578125,1.8681640625,134.802734375,4.291839599609375,1058.203125,12.928733825683594,0.2958297729492187,-0.467254638671875,1.6493263244628906,-0.2433242797851562,-0.623992919921875,-0.4844970703125,-1.62493896484375,-0.6750221252441406,-2.275726318359375,2.67999267578125,1.217681884765625,0.4969482421875,0.369415283203125,13.104248046875
2426,-22.32111877314929,-52.67056478507857,0.0209,0.0221,0.0487,0.018,0.0813,0.4653,0.629,0.6175,0.6521,0.6504,0.2569,0.1169,45.427978515625,5.039451599121094,17.52069091796875,7.6279754638671875,2.6698532104492188,1.781362533569336,31.69097900390625,9.72894287109375,149.9560546875,85.6737060546875,41.153839111328125,1.0030517578125,1.8681640625,134.802734375,4.291839599609375,1058.203125,12.928733825683594,0.2958297729492187,-0.467254638671875,1.6493263244628906,-0.2433242797851562,-0.623992919921875,-0.4844970703125,-1.62493896484375,-0.6750221252441406,-2.275726318359375,2.67999267578125,1.217681884765625,0.4969482421875,0.369415283203125,13.104248046875
2446,-22.32111877314929,-52.66876735669975,0.021,0.0212,0.0499,0.0171,0.079,0.4707,0.6365,0.6311,0.6589,0.6506,0.2565,0.1165,45.427978515625,5.039451599121094,17.52069091796875,7.6279754638671875,2.6698532104492188,1.781362533569336,31.69097900390625,9.72894287109375,149.9560546875,85.6737060546875,41.153839111328125,1.0030517578125,1.8681640625,134.802734375,4.291839599609375,1058.203125,12.928733825683594,0.2958297729492187,-0.467254638671875,1.6493263244628906,-0.2433242797851562,-0.623992919921875,-0.4844970703125,-1.62493896484375,-0.6750221252441406,-2.275726318359375,2.67999267578125,1.217681884765625,0.4969482421875,0.369415283203125,13.104248046875
2466,-22.32111877314929,-52.66696992832095,0.0205,0.0232,0.0503,0.0191,0.0813,0.4779,0.6386,0.6336,0.6642,0.6641,0.2622,0.1194,45.427978515625,5.039451599121094,17.52069091796875,7.6279754638671875,2.6698532104492188,1.781362533569336,31.69097900390625,9.72894287109375,149.9560546875,85.6737060546875,41.153839111328125,1.0030517578125,1.8681640625,134.802734375,4.291839599609375,1058.203125,12.928733825683594,0.2958297729492187,-0.467254638671875,1.6493263244628906,-0.2433242797851562,-0.623992919921875,-0.4844970703125,-1.62493896484375,-0.6750221252441406,-2.275726318359375,2.67999267578125,1.217681884765625,0.4969482421875,0.369415283203125,13.104248046875
2486,-22.32111877314929,-52.66517249994214,0.0213,0.0301,0.0602,0.0571,0.0996,0.4262,0.5479,0.5223,0.5758,0.6053,0.2703,0.1477,45.427978515625,5.039451599121094,17.52069091796875,7.6279754638671875,2.6698532104492188,1.781362533569336,31.69097900390625,9.72894287109375,149.9560546875,85.6737060546875,41.153839111328125,1.0030517578125,1.8681640625,134.802734375,4.291839599609375,1058.203125,12.928733825683594,0.2958297729492187,-0.467254638671875,1.6493263244628906,-0.2433242797851562,-0.623992919921875,-0.4844970703125,-1.62493896484375,-0.6750221252441406,-2.275726318359375,2.67999267578125,1.217681884765625,0.4969482421875,0.369415283203125,13.104248046875
4748,-22.32294433296796,-52.67236221345738,0.0214,0.0217,0.0478,0.0194,0.0798,0.457,0.6119,0.6011,0.6381,0.6384,0.2536,0.1154,46.434326171875,5.132980346679688,16.795166015625,7.71063232421875,2.668917655944824,1.8350963592529297,31.345947265625,9.21356201171875,119.9951171875,86.202880859375,41.051544189453125,1.3028450012207031,1.7580413818359375,112.158203125,4.116119384765625,1098.58203125,14.68695831298828,0.2155036926269531,-0.3271331787109375,1.8974952697753904,-0.4938278198242187,-0.4408111572265625,-0.434906005859375,-1.33599853515625,-0.6216545104980469,-2.54384994506836,1.80743408203125,1.3800735473632812,0.69921875,0.3752288818359375,12.341064453125
4768,-22.32294433296796,-52.67056478507857,0.0209,0.0204,0.0468,0.0176,0.0765,0.4575,0.6179,0.6162,0.6418,0.6176,0.2469,0.1111,46.434326171875,5.132980346679688,16.795166015625,7.71063232421875,2.668917655944824,1.8350963592529297,31.345947265625,9.21356201171875,119.9951171875,86.202880859375,41.051544189453125,1.3028450012207031,1.7580413818359375,112.158203125,4.116119384765625,1098.58203125,14.68695831298828,0.2155036926269531,-0.3271331787109375,1.8974952697753904,-0.4938278198242187,-0.4408111572265625,-0.434906005859375,-1.33599853515625,-0.6216545104980469,-2.54384994506836,1.80743408203125,1.3800735473632812,0.69921875,0.3752288818359375,12.341064453125
4808,-22.32294433296796,-52.66696992832095,0.0217,0.0224,0.0485,0.0187,0.0784,0.4751,0.6416,0.6393,0.6614,0.6577,0.2656,0.1208,46.434326171875,5.132980346679688,16.795166015625,7.71063232421875,2.668917655944824,1.8350963592529297,31.345947265625,9.21356201171875,119.9951171875,86.202880859375,41.051544189453125,1.3028450012207031,1.7580413818359375,112.158203125,4.116119384765625,1098.58203125,14.68695831298828,0.2155036926269531,-0.3271331787109375,1.8974952697753904,-0.4938278198242187,-0.4408111572265625,-0.434906005859375,-1.33599853515625,-0.6216545104980469,-2.54384994506836,1.80743408203125,1.3800735473632812,0.69921875,0.3752288818359375,12.341064453125
4828,-22.32294433296796,-52.66517249994214,0.0207,0.0228,0.0489,0.0178,0.0804,0.4761,0.6378,0.636,0.6647,0.6657,0.2653,0.1226,46.434326171875,5.132980346679688,16.795166015625,7.71063232421875,2.668917655944824,1.8350963592529297,31.345947265625,9.21356201171875,119.9951171875,86.202880859375,41.051544189453125,1.3028450012207031,1.7580413818359375,112.158203125,4.116119384765625,1098.58203125,14.68695831298828,0.2155036926269531,-0.3271331787109375,1.8974952697753904,-0.4938278198242187,-0.4408111572265625,-0.434906005859375,-1.33599853515625,-0.6216545104980469,-2.54384994506836,1.80743408203125,1.3800735473632812,0.69921875,0.3752288818359375,12.341064453125
