,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
515,-22.319293189449628,-52.67056478507857,0.0219,0.0219,0.0489,0.0199,0.0837,0.4604,0.6233,0.6242,0.6412,0.6401,0.2534,0.1179,46.36666666666667,5.076666666666667,17.026666666666667,7.666666666666667,2.6333333333333333,1.7433333333333334,30.39,9.61,136.1966666666667,89.53666666666668,41.48,0.9333333333333336,2.023333333333333,126.91,4.986666666666667,1132.89,13.9,0.2966666666666667,-0.18,1.49,0.51,-0.6366666666666667,0.1333333333333334,-1.0466666666666666,-0.6233333333333334,-1.6366666666666667,1.106666666666667,0.7766666666666667,-0.3266666666666666,0.8633333333333333,9.593333333333334
535,-22.319293189449628,-52.66876735669975,0.0211,0.0232,0.0495,0.018,0.0821,0.4729,0.6302,0.623,0.6497,0.6388,0.258,0.1188,47.67666666666667,4.803333333333334,16.72,7.853333333333333,2.683333333333333,1.7133333333333332,30.320000000000004,9.13,159.03666666666666,86.87,39.803333333333335,0.6733333333333333,1.76,139.72666666666666,5.543333333333334,1086.5766666666666,13.493333333333332,0.3266666666666666,-0.1033333333333333,1.2833333333333334,0.4333333333333334,-0.5733333333333334,0.18,-1.2733333333333334,-0.6666666666666666,-1.923333333333333,2.0166666666666666,0.68,-0.46,0.8399999999999999,10.49
555,-22.319293189449628,-52.66696992832095,0.0207,0.0202,0.0491,0.0184,0.0812,0.4714,0.6233,0.6225,0.6471,0.6561,0.2605,0.1178,51.11666666666667,4.696666666666666,16.886666666666667,7.966666666666666,2.78,1.8266666666666664,31.75,10.153333333333334,235.3166666666667,91.31666666666666,41.443333333333335,0.7566666666666667,1.76,182.61333333333332,5.136666666666667,1077.1266666666668,12.583333333333334,0.4866666666666666,-0.3066666666666666,1.1566666666666667,-0.7433333333333333,-0.8433333333333334,-0.7333333333333334,-2.3266666666666667,-1.0466666666666666,-2.533333333333333,5.7,1.2833333333333334,0.3066666666666666,0.09,17.276666666666667
2406,-22.32111877314929,-52.67236221345738,0.0197,0.021,0.0484,0.0188,0.0805,0.4596,0.6201,0.6204,0.6436,0.6389,0.2522,0.1157,42.89333333333334,5.236666666666667,17.62,7.8066666666666675,2.736666666666667,1.81,31.47666666666667,9.606666666666667,124.51999999999998,88.68,43.35,1.2666666666666666,1.84,119.64333333333332,4.386666666666667,1157.493333333333,15.736666666666666,0.2633333333333333,-0.62,1.86,-0.2433333333333333,-0.4866666666666666,-0.34,-1.4366666666666668,-0.6533333333333333,-2.36,1.8166666666666664,1.3666666666666665,0.7200000000000001,0.3733333333333333,12.296666666666669
2426,-22.32111877314929,-52.67056478507857,0.0209,0.0221,0.0487,0.018,0.0813,0.4653,0.629,0.6175,0.6521,0.6504,0.2569,0.1169,44.703333333333326,5.146666666666667,17.336666666666666,7.650000000000001,2.6300000000000003,1.7566666666666666,30.98,9.57,124.46666666666664,84.67,41.63666666666666,1.11,1.903333333333333,118.91333333333334,4.3500000000000005,1092.243333333333,13.353333333333332,0.2733333333333333,-0.4433333333333333,1.8433333333333333,-0.25,-0.4933333333333333,-0.4566666666666667,-1.49,-0.6633333333333333,-2.276666666666667,1.883333333333333,1.2633333333333334,0.65,0.4233333333333333,12.223333333333334
2446,-22.32111877314929,-52.66876735669975,0.021,0.0212,0.0499,0.0171,0.079,0.4707,0.6365,0.6311,0.6589,0.6506,0.2565,0.1165,46.30666666666667,4.93,17.34,7.626666666666666,2.7000000000000006,1.836666666666667,32.52333333333333,10.606666666666667,209.3633333333333,86.37333333333333,42.18666666666667,1.1866666666666668,1.98,166.89,4.156666666666667,1003.31,11.863333333333337,0.4633333333333333,-0.5833333333333334,1.37,-0.5566666666666668,-0.9033333333333332,-0.7533333333333334,-2.0466666666666664,-0.84,-2.146666666666667,4.716666666666667,1.14,0.42,0.1766666666666666,15.86
2466,-22.32111877314929,-52.66696992832095,0.0205,0.0232,0.0503,0.0191,0.0813,0.4779,0.6386,0.6336,0.6642,0.6641,0.2622,0.1194,44.876666666666665,4.863333333333333,16.553333333333335,7.753333333333333,2.626666666666667,1.8433333333333333,33.24333333333333,9.839999999999998,176.86,83.51666666666667,40.36666666666667,1.1166666666666665,1.94,144.88666666666668,4.086666666666666,980.3266666666668,11.6,0.3533333333333333,-0.5433333333333333,1.4966666666666668,-0.6000000000000001,-0.6233333333333334,-0.6766666666666666,-1.6933333333333334,-0.5566666666666666,-2.313333333333334,3.6399999999999992,1.1333333333333333,0.4233333333333333,0.3133333333333333,14.22
2486,-22.32111877314929,-52.66517249994214,0.0213,0.0301,0.0602,0.0571,0.0996,0.4262,0.5479,0.5223,0.5758,0.6053,0.2703,0.1477,51.52333333333333,4.91,17.276666666666667,7.406666666666666,2.7,1.83,31.67333333333333,9.906666666666666,181.35333333333327,85.65333333333332,39.67,1.04,1.7266666666666666,150.57333333333335,3.973333333333333,981.2033333333334,11.803333333333333,0.32,-0.1366666666666666,1.4766666666666668,-0.4666666666666666,-0.8666666666666667,-0.6,-1.8,-0.82,-2.3666666666666667,3.796666666666667,1.1866666666666668,0.3533333333333333,0.2466666666666666,14.543333333333331
4748,-22.32294433296796,-52.67236221345738,0.0214,0.0217,0.0478,0.0194,0.0798,0.457,0.6119,0.6011,0.6381,0.6384,0.2536,0.1154,46.74333333333334,5.239999999999999,16.80333333333333,8.026666666666666,2.72,1.7633333333333334,31.31,8.523333333333333,88.53333333333332,86.05666666666667,40.63666666666666,1.2133333333333334,1.6566666666666665,95.93666666666664,4.8133333333333335,1165.13,15.96,0.17,-0.1999999999999999,2.0700000000000003,-0.2933333333333333,-0.1533333333333333,-0.15,-1.18,-0.48,-2.766666666666666,0.6266666666666666,1.37,0.68,0.48,10.556666666666668
4768,-22.32294433296796,-52.67056478507857,0.0209,0.0204,0.0468,0.0176,0.0765,0.4575,0.6179,0.6162,0.6418,0.6176,0.2469,0.1111,45.43,5.0,16.453333333333333,7.786666666666666,2.6466666666666665,1.7699999999999998,28.863333333333333,8.38,90.32,88.64999999999999,41.11,1.4233333333333331,1.586666666666667,99.01333333333334,4.553333333333334,1194.3266666666666,16.276666666666667,0.1533333333333333,-0.2266666666666666,1.96,-0.2933333333333333,-0.2266666666666666,-0.1999999999999999,-1.13,-0.7433333333333333,-2.7466666666666666,0.7633333333333333,1.5366666666666668,0.7566666666666667,0.5533333333333333,11.236666666666666
