,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,-22.322911121475435,-52.66876735669977,0.020914999999999996,0.02237,0.04939,0.02127,0.080765,0.45535,0.6081049999999999,0.6026699999999999,0.6316499999999999,0.6385449999999999,0.25385500000000005,0.11857999999999999,45.075,5.188,17.877499999999998,8.041500000000001,2.722,1.7825,30.070999999999998,9.166500000000003,119.7415,87.42299999999999,42.25000000000001,1.1190000000000002,1.7035,113.8585,4.886,1188.702,17.825499999999995,0.182,-0.43099999999999994,1.8709999999999998,-0.138,-0.30199999999999994,-0.3135,-1.4565,-0.7965000000000002,-2.5759999999999996,1.714,1.3510000000000002,0.687,0.392,12.1005
std,0.002406239143147083,0.002404441705812841,0.0007929126851777495,0.0025807179743547906,0.004024647745292029,0.009291711076913775,0.007034447197073914,0.02592977357970441,0.039306025719916496,0.04687344776377302,0.03984964504893759,0.023744771723697957,0.014216649801516084,0.010293922581079728,6.6840261267560805,0.4526134635297774,1.486691398976087,0.501442917987681,0.07280832803724416,0.09141432572287794,1.0698347142383595,1.090404439694402,41.46748863171066,7.933375932363886,1.5487244326932588,0.5274357032403395,0.13906738238028812,20.717804261577836,0.6404143395613417,170.14197717138904,6.39526920136242,0.0833256136775292,0.39397969490825285,0.5462783173438243,0.2821086017084462,0.18500640102724183,0.2320906129760076,0.55318479828411,0.18751210487241676,0.44215262904162533,1.390654522158541,0.32744465181156956,0.18516280176616126,0.1618836489256209,0.9789224742165822
min,-22.326512403653776,-52.67236221345738,0.0188,0.0162,0.0377,0.0139,0.062,0.3764,0.5034,0.4729,0.5202,0.5773,0.2095,0.0913,35.25,4.63,15.38,6.97,2.59,1.69,28.37,7.65,93.02,72.3,39.54,0.68,1.54,90.4,3.84,938.63,13.33,0.07,-1.09,1.08,-0.68,-0.6,-0.64,-2.31,-1.06,-3.43,0.84,0.91,0.41,0.12,10.64
25%,-22.324686890516045,-52.67056478507857,0.020575,0.021425,0.048475000000000004,0.01795,0.07885,0.455225,0.608675,0.602525,0.63455,0.629475,0.250175,0.115775,41.49,4.8925,16.34,8.08,2.68,1.73,29.54,8.55,96.05,85.57,42.12,0.75,1.57,103.64,4.74,1109.3225,13.9675,0.14,-0.52,1.635,-0.38,-0.46,-0.46,-1.6124999999999998,-0.925,-2.77,0.93,1.05,0.5675,0.375,11.84
50%,-22.32294433296796,-52.66876735669975,0.0209,0.0223,0.049,0.018750000000000003,0.08065,0.4623,0.62195,0.61895,0.64385,0.6395,0.25670000000000004,0.11785000000000001,46.8,5.24,18.265,8.11,2.73,1.76,30.25,8.935,97.935,86.75,42.36,0.77,1.68,106.16,4.76,1189.08,15.61,0.15,-0.19,2.05,-0.03,-0.21,-0.23,-1.29,-0.72,-2.5199999999999996,0.975,1.41,0.82,0.47,11.94
75%,-22.32111877314929,-52.66696992832095,0.021325,0.023125,0.049975,0.019975,0.082275,0.471775,0.631775,0.628025,0.6538,0.65615,0.26175,0.12125,48.555,5.4,18.6025,8.219999999999999,2.765,1.81,30.69,9.4975,121.94,92.14,43.45,1.46,1.86,118.2175,5.05,1327.18,17.68,0.22,-0.185,2.1,0.01,-0.15,-0.22,-1.23,-0.66,-2.3949999999999996,1.7574999999999998,1.57,0.84,0.5,12.6675
80%,-22.32111877314929,-52.66696992832095,0.021419999999999998,0.0232,0.05022,0.02024,0.08284,0.47334,0.63676,0.6316,0.6594,0.6565799999999999,0.26282,0.12282,53.28,5.4,19.6,8.55,2.81,1.81,31.38,10.84,189.65,92.14,43.84,1.46,1.86,147.46,5.05,1327.18,17.68,0.31,-0.17,2.1,0.03400000000000013,-0.14199999999999996,-0.22,-1.23,-0.66,-2.05,4.06,1.57,0.84,0.5,13.44
85%,-22.32084493559434,-52.66670031406413,0.021529999999999997,0.0232,0.050629999999999994,0.02046,0.083105,0.47525,0.63792,0.6339600000000001,0.66182,0.6586599999999999,0.265345,0.124045,53.28,5.488499999999999,19.6,8.55,2.81,1.8339999999999999,31.38,10.84,189.65,93.11949999999999,43.84,1.5559999999999992,1.86,147.46,5.2029999999999985,1338.7465,19.85199999999998,0.31,-0.17,2.1944999999999992,0.13,-0.11,-0.17950000000000038,-1.1475000000000009,-0.6435000000000002,-2.05,4.06,1.6119999999999997,0.8414999999999999,0.5,13.44
90%,-22.319293189449628,-52.66517249994214,0.02172,0.02347,0.05273,0.02219000000000002,0.08448000000000001,0.47628000000000004,0.6386799999999999,0.6363300000000001,0.66425,0.6642600000000001,0.26607000000000003,0.12634,53.28,5.99,19.6,8.55,2.81,1.97,31.38,10.84,189.65,98.67,43.84,2.1,1.86,147.46,6.07,1404.29,32.16,0.31,-0.17,2.73,0.13,-0.11,0.05,-0.68,-0.55,-2.05,4.06,1.85,0.85,0.5,13.44
