,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
515,-22.319293189449628,-52.67056478507857,0.0219,0.0219,0.0489,0.0199,0.0837,0.4604,0.6233,0.6242,0.6412,0.6401,0.2534,0.1179,41.29,4.65,17.77,7.7,2.6,1.59,28.71,8.86,118.87,78.52,36.27,0.66,1.91,119.12,5.4,927.77,13.87,0.23,0.0,0.78,2.74,-0.53,1.62,0.11,-0.27,-0.31,-1.71,-0.77,-2.37,2.01,1.19
535,-22.319293189449628,-52.66876735669975,0.0211,0.0232,0.0495,0.018,0.0821,0.4729,0.6302,0.623,0.6497,0.6388,0.258,0.1188,46.98,5.24,15.38,8.11,2.59,1.76,29.54,8.55,96.05,98.67,43.32,0.77,1.86,103.64,6.07,1404.29,14.18,0.19,-0.19,2.1,-0.68,-0.15,-0.4,-1.29,-0.72,-2.77,0.93,1.85,0.85,0.48,12.41
555,-22.319293189449628,-52.66696992832095,0.0207,0.0202,0.0491,0.0184,0.0812,0.4714,0.6233,0.6225,0.6471,0.6561,0.2605,0.1178,54.76,4.52,17.01,7.75,2.86,1.79,32.71,9.98,262.19,83.42,39.82,0.59,1.51,196.42,5.16,927.67,12.43,0.56,-0.12,0.97,-0.76,-1.04,-0.68,-2.64,-1.01,-2.69,6.83,0.96,0.14,0.03,17.87
2406,-22.32111877314929,-52.67236221345738,0.0197,0.021,0.0484,0.0188,0.0805,0.4596,0.6201,0.6204,0.6436,0.6389,0.2522,0.1157,35.25,5.4,18.27,8.08,2.73,1.81,30.46,9.05,99.37,92.14,43.84,0.75,1.86,108.47,5.05,1327.18,17.68,0.15,-1.09,2.05,0.01,-0.21,-0.22,-1.23,-0.66,-2.51,0.99,1.57,0.84,0.46,11.84
2426,-22.32111877314929,-52.67056478507857,0.0209,0.0221,0.0487,0.018,0.0813,0.4653,0.629,0.6175,0.6521,0.6504,0.2569,0.1169,50.83,5.34,17.93,7.19,2.71,1.88,32.92,11.42,193.67,91.42,44.85,1.37,2.3,157.97,3.49,1066.61,13.65,0.47,-0.35,1.59,-0.53,-1.23,-0.82,-1.96,-0.88,-1.83,4.1,1.25,0.54,0.1,15.18
2446,-22.32111877314929,-52.66876735669975,0.021,0.0212,0.0499,0.0171,0.079,0.4707,0.6365,0.6311,0.6589,0.6506,0.2565,0.1165,36.48,5.12,15.82,7.65,2.5,1.7,31.65,8.47,86.71,75.84,40.52,1.28,1.73,94.92,4.8,1043.9,10.8,0.21,-0.79,2.12,-0.35,-0.14,-0.32,-1.13,-0.23,-2.47,0.71,1.13,0.79,0.67,10.85
2466,-22.32111877314929,-52.66696992832095,0.0205,0.0232,0.0503,0.0191,0.0813,0.4779,0.6386,0.6336,0.6642,0.6641,0.2622,0.1194,51.61,4.33,18.27,8.04,2.89,1.93,33.0,11.93,347.71,91.86,41.19,0.91,1.91,247.78,4.18,899.42,11.14,0.71,-0.61,0.4,-0.79,-1.34,-1.12,-3.05,-1.41,-2.14,9.34,1.04,-0.07,-0.24,21.55
2486,-22.32111877314929,-52.66517249994214,0.0213,0.0301,0.0602,0.0571,0.0996,0.4262,0.5479,0.5223,0.5758,0.6053,0.2703,0.1477,52.4,5.08,18.37,7.19,2.61,1.65,29.09,9.0,101.43,86.52,38.34,1.01,1.73,112.56,3.98,1067.33,13.87,0.16,0.14,1.86,0.13,-0.61,-0.36,-1.52,-0.81,-2.45,1.19,1.42,0.54,0.47,11.5
4748,-22.32294433296796,-52.67236221345738,0.0214,0.0217,0.0478,0.0194,0.0798,0.457,0.6119,0.6011,0.6381,0.6384,0.2536,0.1154,42.6,4.97,16.66,8.15,2.77,1.74,31.05,8.35,80.52,82.48,41.36,1.68,1.36,92.49,4.62,1078.69,15.88,0.17,-0.42,1.94,-0.21,-0.02,0.02,-1.12,-0.42,-2.74,0.36,1.28,0.78,0.56,9.87
4768,-22.32294433296796,-52.67056478507857,0.0209,0.0204,0.0468,0.0176,0.0765,0.4575,0.6179,0.6162,0.6418,0.6176,0.2469,0.1111,46.8,4.98,18.26,8.11,2.68,1.69,28.37,8.82,93.02,86.75,39.54,0.68,1.68,103.85,4.76,1166.22,15.61,0.14,-0.19,1.82,0.13,-0.11,-0.23,-1.38,-0.88,-2.53,0.84,1.41,0.62,0.5,10.64
