,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
515,-22.319293189449628,-52.67056478507857,0.0219,0.0219,0.0489,0.0199,0.0837,0.4604,0.6233,0.6242,0.6412,0.6401,0.2534,0.1179,45.267685707756,4.899766572632139,16.9065,7.751115807498167,2.665500020895459,1.8009889651432651,30.78549999999997,8.968000000000721,127.9369430256611,86.7389466577397,40.600202569186855,0.7243255080882266,1.784000037554348,120.28549616998912,5.102007671651076,1105.6544109812107,13.984879317888725,0.2467756166414806,-0.3141692092591692,1.3182091367687796,0.4752509439658178,-0.4735000022202539,0.1849354399664671,-1.2993466669725566,-0.6424999242262853,-0.8145779936905424,1.787999999999966,0.5969647860573071,-1.0240116627635818,0.8313424695049583,11.85897733972844
535,-22.319293189449628,-52.66876735669975,0.0211,0.0232,0.0495,0.018,0.0821,0.4729,0.6302,0.623,0.6497,0.6388,0.258,0.1188,46.44191893635858,4.98529939924687,16.9065,7.73788324198789,2.665500042844902,1.8011319256229246,30.78549999999997,8.968000000000913,129.65229897998745,87.23824670623515,40.918099756168814,0.7748997425727295,1.784000015678973,121.876759932474,5.189841987189083,1101.4014960573604,13.43589165260983,0.2544240560113606,-0.292550674721569,1.5814417358581536,-0.0642336938806674,-0.4735000049910072,-0.2035448480822533,-1.314371600085819,-0.6425001972827997,-2.4675160447012665,1.788000000000612,1.0944078818219418,0.2162989203079741,0.5706162467253542,12.089570608573847
555,-22.319293189449628,-52.66696992832095,0.0207,0.0202,0.0491,0.0184,0.0812,0.4714,0.6233,0.6225,0.6471,0.6561,0.2605,0.1178,47.80146987409909,4.710645815189953,16.9065,7.686434200883737,2.665500112878888,1.8012848990150667,30.78549999999997,8.968000000001132,131.7848877257393,85.77363453700755,40.28898512375624,0.6552500435823978,1.7839999842218146,123.9590855149825,4.879242376616,1061.6696110628054,12.518614523553104,0.2636048891533777,-0.252719116822845,1.2622687305518023,-0.2803882246040488,-0.4735000092992358,-0.4131389099625546,-1.3281669983952884,-0.6425004548266547,-2.605535772485968,1.7880000000012832,1.0640919900329897,0.1748952282933542,0.3844199818054342,12.283841381643322
2406,-22.32111877314929,-52.67236221345738,0.0197,0.021,0.0484,0.0188,0.0805,0.4596,0.6201,0.6204,0.6436,0.6389,0.2522,0.1157,44.34009442910059,5.239230136208659,16.9065,7.786501861458306,2.665500025028302,1.8011506383560123,30.78549999999997,8.968000000000167,124.99281027321624,88.17491315750732,41.706506838495294,0.8794212282845368,1.784000041547479,117.18813372224898,4.857292420398417,1150.9502815195528,16.64476327676303,0.2296739029116018,-0.4233290758291506,1.8398665826754368,0.0629753204525844,-0.473499996300256,-0.0779993356398296,-1.2926470707821618,-0.6424997581101265,-2.349836022907857,1.7879999999994491,1.200554462820426,0.4546544604074557,0.6117101874669033,11.871240608913617
2426,-22.32111877314929,-52.67056478507857,0.0209,0.0221,0.0487,0.018,0.0813,0.4653,0.629,0.6175,0.6521,0.6504,0.2569,0.1169,45.458162177610085,5.157904940868157,16.9065,7.729207983558783,2.6655000098959376,1.8012142563374367,30.78549999999997,8.968000000000535,126.7861106484848,87.50376940022727,41.56007164609272,1.2093578232103694,1.7840000429567495,118.91358643360294,4.534862759114909,1120.6641836543847,13.90200124435006,0.2400208015962483,-0.3571140612983647,1.6646069634476015,-0.0399089151510091,-0.4735000005601799,-0.2167304468945284,-1.301178382273529,-0.6424999413856332,-1.8953488733030444,1.7879999999999154,1.118171428609116,0.3192521328954801,0.5559404414582793,11.974538588985151
2446,-22.32111877314929,-52.66876735669975,0.021,0.0212,0.0499,0.0171,0.079,0.4707,0.6365,0.6311,0.6589,0.6506,0.2565,0.1165,45.89823559026429,5.0051147928788255,16.9065,7.708003848967202,2.66550000078478,1.801303279977815,30.78549999999997,8.968000000000657,128.3405260171315,85.9471840442851,40.89675075495292,1.1819440615395669,1.7840000153045592,120.23185894086714,4.631087317667909,1092.2043500935097,11.625516301422309,0.2453197582841026,-0.3499293782051274,1.7076714318475552,-0.2323027261556312,-0.4735000029981696,-0.338359687655064,-1.310633610424123,-0.6425000683356134,-2.3832107846689343,1.7880000000004332,1.1537897481754225,0.5093473828154278,0.4991896819434391,12.113765267330232
2466,-22.32111877314929,-52.66696992832095,0.0205,0.0232,0.0503,0.0191,0.0813,0.4779,0.6386,0.6336,0.6642,0.6641,0.2622,0.1194,47.47173763635297,4.713849850809401,16.9065,7.668243458121414,2.665500077525946,1.8015065476336147,30.78549999999997,8.968000000000977,130.85370391521846,85.58360042436165,40.3380250973073,0.9431379844301528,1.7839999881576434,122.71487254078272,4.3623927577337485,1057.5976978539882,11.534840544723597,0.2549777951971539,-0.2935759519681617,1.2494044246204066,-0.3842093569775473,-0.4735000080460667,-0.5279532230929319,-1.324148172154756,-0.6425003995852964,-2.25588597760876,1.7880000000011582,1.1454197511409778,0.2453655922986989,0.3280472592346819,12.309746027859072
2486,-22.32111877314929,-52.66517249994214,0.0213,0.0301,0.0602,0.0571,0.0996,0.4262,0.5479,0.5223,0.5758,0.6053,0.2703,0.1477,48.101144515192026,5.00187683900101,16.9065,7.581684250982326,2.66550006769396,1.801514915511279,30.78549999999997,8.9680000000008,129.94836229849753,84.10557124600551,39.54206927833206,0.9955415569577308,1.7839999578413417,121.51573408220766,4.175566240545177,1048.782712443993,13.590659305917573,0.2455346820216943,-0.2016773324512691,1.6656715955373405,-0.2724674049715794,-0.4735000088382684,-0.4311871133698948,-1.3218138444663052,-0.6425004111243751,-2.4560892813497874,1.788000000001046,1.1826983439024616,0.4294275167008676,0.3799130231937472,12.282435161247328
4748,-22.32294433296796,-52.67236221345738,0.0214,0.0217,0.0478,0.0194,0.0798,0.457,0.6119,0.6011,0.6381,0.6384,0.2536,0.1154,44.97424193743616,5.176378328927673,16.9065,7.777075220972595,2.6654999987613874,1.801284656025874,30.78549999999997,8.967999999999618,123.22308417117416,87.97896578158345,41.387629218170886,1.4730800155692585,1.7840000266881335,115.06487955220084,4.703295684274096,1156.228508847105,16.13509710456208,0.2183629697529663,-0.3450695683571912,1.9975346562745908,-0.1880285342039437,-0.4734999930837023,-0.1443278418853039,-1.287685765470949,-0.6424996322690509,-2.7215889547467857,1.787999999999172,1.3565115957245246,0.6932403241255095,0.5467166067937914,11.887626207462713
4768,-22.32294433296796,-52.67056478507857,0.0209,0.0204,0.0468,0.0176,0.0765,0.4575,0.6179,0.6162,0.6418,0.6176,0.2469,0.1111,45.58500072738102,5.085639581668014,16.9065,7.738371116802849,2.665499970233149,1.8013710943066306,30.78549999999997,8.967999999999828,124.42648004699132,87.78466655820816,41.13631935658013,0.9842330437166475,1.7840000254719894,116.16939816465928,4.528476590707053,1140.9043882253163,15.14435293783587,0.222005925908442,-0.3151208149146887,1.89378784919812,-0.2387340236253046,-0.473499995840399,-0.2658517483973959,-1.294017613847451,-0.6424998749254076,-2.5503303357840936,1.7879999999995355,1.393159171372012,0.6602677466419591,0.5071460502267859,11.984332650917692
