,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
515,-22.319293189449628,-52.67056478507857,0.0219,0.0219,0.0489,0.0199,0.0837,0.4604,0.6233,0.6242,0.6412,0.6401,0.2534,0.1179,42.05235349245794,4.687948330396073,17.767195690948355,7.689136219938257,2.601086610637312,1.6076319942330215,28.698750060090862,8.86711202980872,121.00168015137888,78.82790278453403,36.27777066935708,0.6617421094030597,1.906335541418897,118.9943326752324,5.401753824969726,986.6373918844378,14.283239206960896,0.2286598174848816,-0.0138673885121949,0.8699374247793216,2.4466135303697816,-0.5194393646597307,1.1544056889108287,0.017432751778244,-0.2866746317865932,-0.4809782777292724,-1.442737740366136,-0.2484201076254134,-2.3702760404490424,1.9264507963074544,1.69011440061334
535,-22.319293189449628,-52.66876735669975,0.0211,0.0232,0.0495,0.018,0.0821,0.4729,0.6302,0.623,0.6497,0.6388,0.258,0.1188,46.84598110794276,5.238667906142431,15.38055293978624,7.928606115305756,2.5914649969484698,1.7649520324619976,29.538341987593917,8.580934084996178,104.91587116682996,98.10594783560154,43.3210803226791,0.7688770836884716,1.857545067207978,104.12004272273828,6.061475596348375,1310.6726553814997,14.545824629378172,0.1891962754164791,-0.1943602059691945,2.088090554436383,-0.6711095216689267,-0.1781768589369149,-0.3878335625532647,-1.2881266436610672,-0.7137513897149903,-2.6885269568812578,0.9835704184884408,1.6901012943992406,0.8500124792144247,0.4805169626795852,12.389022001313744
555,-22.319293189449628,-52.66696992832095,0.0207,0.0202,0.0491,0.0184,0.0812,0.4714,0.6233,0.6225,0.6471,0.6561,0.2605,0.1178,53.40303060674717,4.568699428213526,17.00999991975843,7.718425558201939,2.8544162903298145,1.7913306412785743,32.70298573443242,9.894542599539411,222.0243764695084,83.52912724020119,39.82001298226533,0.592735586058363,1.5178413116739318,195.26793325698463,5.161670357542548,970.1858906009512,13.055114695894042,0.5250563238741294,-0.1279912100256144,1.0447076362759118,-0.7309253103616159,-0.9558069419618974,-0.5918999688305553,-2.5488420986633225,-0.9882012435187008,-2.677088595400237,6.446430379015075,1.0304065368952973,0.1421130466718935,0.0549127169519948,17.592586942606378
2406,-22.32111877314929,-52.67236221345738,0.0197,0.021,0.0484,0.0188,0.0805,0.4596,0.6201,0.6204,0.6436,0.6389,0.2522,0.1157,36.9057433490587,5.387211217289119,18.271447686029617,7.917864790163819,2.72908443944241,1.8102951530679237,30.463958135184555,9.041964261351149,107.14837461798288,91.95272003852848,43.84765684504337,0.7560682020635443,1.8583284963700808,108.58279280846718,5.042223738644433,1274.451820450465,17.53132448651409,0.1537230420753314,-1.0592831870254744,2.0394477892958816,-0.021550886717103,-0.243468493698812,-0.2476378930897674,-1.2341944814214487,-0.6618943248415758,-2.4753913142243102,1.0379765321524876,1.504841507407391,0.8415451565886009,0.4609468216724262,11.867212662518892
2426,-22.32111877314929,-52.67056478507857,0.0209,0.0221,0.0487,0.018,0.0813,0.4653,0.629,0.6175,0.6521,0.6504,0.2569,0.1169,50.11744638425832,5.332109152169276,17.92669735245419,7.381781319549666,2.7091723516655124,1.877333755176287,32.92062905391509,11.28555316177764,174.03605655578656,91.2335162777632,44.84446266074329,1.3666327749591023,2.2896760190338634,157.39666368563533,3.500682922853196,1082.0745930566377,14.075273462221748,0.4523614255319093,-0.3492734615263243,1.606268236615084,-0.5237534074814871,-1.1527078674243303,-0.7069526820250418,-1.934513868074936,-0.8733063061405346,-1.852133551712445,3.998243483565734,1.2466650394093806,0.5476236128097707,0.1121825503033964,15.089571789866476
2446,-22.32111877314929,-52.66876735669975,0.021,0.0212,0.0499,0.0171,0.079,0.4707,0.6365,0.6311,0.6589,0.6506,0.2565,0.1165,37.93806832798422,5.124133107917158,15.820504325917332,7.659465097761815,2.502713232334765,1.7056510442763266,31.65372456418358,8.487509025819005,98.12883633908622,76.10529584048427,40.51796938758696,1.2788338780005084,1.7314386630140255,95.40958525915455,4.792243091294037,1054.8957484706395,11.625826641539868,0.2056295118098213,-0.7724114836330706,2.110785461462323,-0.3485890409381189,-0.1632035480935509,-0.2976379012053952,-1.1309499607573552,-0.2416051165586685,-2.4474234684476768,0.7418919076903147,1.1493834342717524,0.7887315169288747,0.6644409163223642,10.877679216844216
2466,-22.32111877314929,-52.66696992832095,0.0205,0.0232,0.0503,0.0191,0.0813,0.4779,0.6386,0.6336,0.6642,0.6641,0.2622,0.1194,50.782259397024056,4.369580615954678,18.269473306077018,7.895880388924298,2.885725214109204,1.9231916531740127,33.00596954882875,11.77707446433074,283.4596209612769,91.71806958900764,41.1898980692289,0.9121853183493124,1.908129878230425,246.35446509977496,4.175954142686795,931.443482320091,11.916336076030849,0.6758435155839291,-0.5983496589494282,0.4777470808956689,-0.7508746242893442,-1.2324452604282758,-0.9093545121005588,-2.977437936135794,-1.3821059153006494,-2.17524880100475,8.987709761441447,1.076320961107389,-0.0688695664029925,-0.21763449472656,21.2576666997791
2486,-22.32111877314929,-52.66517249994214,0.0213,0.0301,0.0602,0.0571,0.0996,0.4262,0.5479,0.5223,0.5758,0.6053,0.2703,0.1477,51.4519779574214,5.085505727944032,18.37048644821904,7.380897945296496,2.6105010844423866,1.657515866242675,29.09796975594051,8.993472882043811,108.57963013628596,86.56080155773884,38.34138510682247,1.0107176105187086,1.730807673355171,112.75000686930537,3.9786494580105214,1050.0473139767198,14.261932478276671,0.1609632900918186,0.1246629549834539,1.8629794740337204,0.109299051679711,-0.5788113422410821,-0.3141638704463025,-1.5069699700866936,-0.8015533254404077,-2.450063577062674,1.2026186855475671,1.3845078010926797,0.5401454758981413,0.4706017474082117,11.495277061623751
4748,-22.32294433296796,-52.67236221345738,0.0214,0.0217,0.0478,0.0194,0.0798,0.457,0.6119,0.6011,0.6381,0.6384,0.2536,0.1154,43.2279244717269,4.993911875416049,16.662957287314455,7.890910309390933,2.765344542213161,1.7495660885794166,31.08394791072421,8.468546502811346,95.5374040557929,82.54100615471408,41.35479145661309,1.6671721824579533,1.387517930691561,92.81870898660873,4.627465954864419,1114.3197398318478,16.011997601560513,0.1854899193704214,-0.4080285845422807,1.9192287227305345,-0.1996096630811048,-0.1197207332781064,-0.0666029561502865,-1.152823356459729,-0.4446572153404632,-2.7398698642007364,0.6220726178279393,1.251911618494931,0.7779789657001027,0.5461345001116494,10.138706332816003
4768,-22.32294433296796,-52.67056478507857,0.0209,0.0204,0.0468,0.0176,0.0765,0.4575,0.6179,0.6162,0.6418,0.6176,0.2469,0.1111,46.680525632391856,5.007602540679166,18.255637700892784,7.87370975428579,2.6795282481095484,1.7054841928303457,28.3177117017158,8.855360532087923,103.8940711749586,86.4638501333849,39.540961529088,0.7098859945276164,1.6857267236827027,103.7530769536998,4.748034356057149,1168.791380294551,15.788356081115198,0.1613444841098341,-0.1974543708672889,1.821757542731892,0.1023996917008013,-0.188354119203835,-0.2329091485086981,-1.3787520610803483,-0.8672790735723576,-2.544853284371269,1.01650098117125,1.3052443189128058,0.6202136651905584,0.4979414859880113,10.814926657706778
