,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,-22.322911121475435,-52.66876735669977,0.020914999999999996,0.02237,0.04939,0.02127,0.080765,0.45535,0.6081049999999999,0.6026699999999999,0.6316499999999999,0.6385449999999999,0.25385500000000005,0.11857999999999999,46.11609083808333,5.164852188363901,16.906906525751705,7.671063037024813,2.6655763444335543,1.800835606547966,30.784644877725754,8.97330359928998,126.35612869026122,85.96298690181041,40.545251692947716,1.2283351912211735,1.7848962660370564,117.56715272061624,4.456365315780578,1108.7403662618935,16.663027862557144,0.2302524493922234,-0.29618954235846745,1.8633916988788353,-0.22165626959947043,-0.47717749348814076,-0.2729405255302214,-1.3073290110930764,-0.6445946641706113,-2.546870783231041,1.8156478828012872,1.2296545087208477,0.4491061109824098,0.48796073921250294,12.117573446385595
std,0.002406239143147083,0.002404441705812841,0.0007929126851777495,0.0025807179743547906,0.004024647745292029,0.009291711076913775,0.007034447197073914,0.02592977357970441,0.039306025719916496,0.04687344776377302,0.03984964504893759,0.023744771723697957,0.014216649801516084,0.010293922581079728,4.5741246016859325,0.39661347522783674,1.6546591837103761,0.2438698346886058,0.11684181563879277,0.10438985172018089,2.2359708302169996,1.1084693735516342,49.176787244940904,7.998654930657244,2.541105801011816,0.420158239310961,0.2605740501544184,40.35175300231039,0.7044339467214009,118.47041730484281,5.544387978155472,0.1500486017980715,0.31152542544992096,0.5651063723942746,0.7418978707552547,0.316525652463404,0.40200361780627153,0.6796070576792137,0.33482646857044446,0.6155670468597946,2.335980461551398,0.41983614222349014,0.7062709786758812,0.40269548526244203,3.614275527474071
min,-22.326512403653776,-52.67236221345738,0.0188,0.0162,0.0377,0.0139,0.062,0.3764,0.5034,0.4729,0.5202,0.5773,0.2095,0.0913,37.59321394322689,4.369580615954678,13.53713223851261,7.239756208338786,2.4964983286196727,1.6076319942330215,27.157025950622685,7.684603233139289,95.5374040557929,71.82101819199028,35.60585874021621,0.592735586058363,1.288343616098933,90.4830785511186,3.308142936677996,931.443482320091,11.476981946635997,0.0773864671311938,-1.0592831870254744,0.4777470808956689,-1.130511109320482,-1.2324452604282758,-0.9093545121005588,-2.977437936135794,-1.3821059153006494,-3.373840477826773,-1.442737740366136,-0.2484201076254134,-2.3702760404490424,-0.21763449472656,1.69011440061334
25%,-22.324686890516045,-52.67056478507857,0.020575,0.021425,0.048475000000000004,0.01795,0.07885,0.455225,0.608675,0.602525,0.63455,0.629475,0.250175,0.115775,43.21808726259655,5.004179874363387,15.553191080278541,7.464926319211706,2.5888983743594576,1.7262271741297532,29.428248929680567,8.23554689923137,103.50727806348553,80.71715518976318,39.13043417556298,0.8763582596841022,1.5724161411563145,92.80983283379217,3.8601017713457964,997.9616565040732,13.759049640194846,0.15431855122238106,-0.4467037120737836,1.76788521620269,-0.6820510273530229,-0.5823057914621289,-0.4095277382833433,-1.4108065383319346,-0.8687858817144019,-2.9491809740424664,0.8678271745274504,1.101995252839364,0.5148111421643775,0.4429666551445719,10.861991077059857
50%,-22.32294433296796,-52.66876735669975,0.0209,0.0223,0.049,0.018750000000000003,0.08065,0.4623,0.62195,0.61895,0.64385,0.6395,0.25670000000000004,0.11785000000000001,46.67108535135085,5.159018142426637,16.83647860353644,7.674300658850036,2.6605300567569063,1.800812897173249,30.370432493894658,8.702748606795307,106.02500791947712,86.07906038593248,40.76547383228496,1.2606479080715836,1.7944918651110018,103.13928990152276,4.455999428532849,1095.2826007036383,14.506614086120532,0.1747712162967881,-0.21564198382067015,2.063328864500702,-0.3602222403092572,-0.37924340294401354,-0.3002190361847142,-1.193508918940589,-0.6663906197636713,-2.6109709398857532,1.014873313984049,1.2492883289521557,0.589277008386055,0.4985452154532657,11.876545865769032
75%,-22.32111877314929,-52.66696992832095,0.021325,0.023125,0.049975,0.019975,0.082275,0.471775,0.631775,0.628025,0.6538,0.65615,0.26175,0.12125,49.7590413676497,5.345884668449237,18.269966901065168,7.878009893062076,2.7510981872038496,1.878824102966592,32.7547939551099,9.050241686499522,111.68514264005918,91.77673220138786,42.377727921793536,1.472094638095689,1.9118046498596915,114.31108832078712,4.8887474472567245,1185.1626548270388,17.306819960461294,0.21219332995547557,-0.06452377416225119,2.142062619137671,0.009436757887373075,-0.24927772386604724,-0.24395570694450008,-0.9227609736989861,-0.4051615694519957,-2.418808812360068,1.1872358813496693,1.4145912276713575,0.796574689210192,0.5504715056692363,12.892608092118923
80%,-22.32111877314929,-52.66696992832095,0.021419999999999998,0.0232,0.05022,0.02024,0.08284,0.47334,0.63676,0.6316,0.6594,0.6565799999999999,0.26282,0.12282,49.94184922397709,5.409759878257063,18.291255438467502,7.891904325297606,2.758298017215918,1.885172198078293,32.912300704496914,9.238967689463594,130.9033751800267,92.53853963992684,42.60955997465277,1.5459564814458169,1.9535854851706784,124.4845737381865,5.044143422074533,1235.8441545619148,17.94268438755889,0.2436813734832216,-0.012434435690462714,2.1864418209771035,0.10377956369658325,-0.23244561879981654,-0.1996479100370156,-0.8862650124619604,-0.28291842380737175,-2.3014216354787433,1.734185382154076,1.5381696499987085,0.8243923961610355,0.5664348257978079,13.212137847976525
85%,-22.32084493559434,-52.66670031406413,0.021529999999999997,0.0232,0.050629999999999994,0.02046,0.083105,0.47525,0.63792,0.6339600000000001,0.66182,0.6586599999999999,0.265345,0.124045,50.52601850521374,5.530398372018047,18.391375019759014,7.899178049110226,2.771299665997781,1.8972570922613226,32.93343012815214,10.00816097625373,171.03904048379303,95.06058241074699,43.36855315754025,1.6712347703444246,2.0782989036568784,148.0882068443476,5.068299386057074,1246.9654033124002,19.87355123273557,0.32605667168488023,-0.0010820675619928836,2.3158716377567234,0.13142105779861343,-0.186827530163797,-0.06049331457697418,-0.8399583548854551,-0.2639503205907136,-2.1689090470392767,3.881120865827943,1.6737369433142815,0.8428152549824744,0.5801552274404089,13.637005725136007
90%,-22.319293189449628,-52.66517249994214,0.02172,0.02347,0.05273,0.02219000000000002,0.08448000000000001,0.47628000000000004,0.6386799999999999,0.6363300000000001,0.66425,0.6642600000000001,0.26607000000000003,0.12634,51.10987627473589,5.703685436090373,18.564667847973848,7.918938922678012,2.8099824597325473,1.927259124333167,33.15561350463917,10.715353916049159,178.8348885471588,96.27681721588873,43.65857498408243,1.714521231630447,2.094382576225731,161.1837906427703,5.185678704285267,1277.2570827691964,22.348326812641975,0.4596309153661314,0.03356865203608603,2.3881473204481956,0.2655689314912754,-0.17667952785257848,-0.02170906548303357,-0.8111640911003339,-0.2346627346247199,-2.1048987522826788,4.243062173110672,1.686872465469331,0.8509284003086749,0.5983308542073273,15.33987330514047
