,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,0.11279028688085362,0.06681501879614946,0.08601388508563429,0.04409139149717701,0.04223128547602763,0.05587006710230208,0.06067136519540529,0.09483599163767537,0.3356062507511541,0.07908894718717001,0.05044306450414481,0.39303102251315214,0.1273232529364751,0.21368125615867764,0.13420106986690197,0.10661317166570733,0.26365419326409417,0.6596107788335434,inf,0.4252068537595992,2.5668957729392274,1.5384305457973755,1.9231028015590685,0.8692645878821401,1.5463815958776854,0.44327414094933265,1.0335326126797226,0.3016072804507162,0.7647153806327596,1.1700717010603403,0.5332749093076559
std,0.08711743525875121,0.05044823081674122,0.05786448133771114,0.03244591490944862,0.029385234854106202,0.04114444560998183,0.043502596184044603,0.07907737473536028,0.2260329079229916,0.056871045274721414,0.039610144012874896,0.349311898758866,0.09763047848532581,0.15634797164322498,0.09823811138536336,0.07634015501474917,0.18396810399746258,0.6655546905162223,,0.8003583848075821,5.909403565753174,3.2636774960630826,4.1026358063113495,2.34871915090367,3.690626973353849,1.4014646255648908,0.8714965516265373,0.5373029390241527,1.6431601750535905,2.4427331068700338,1.7907948308529213
min,4.4993865183687576e-06,1.0416201580297108e-05,4.13068059255805e-06,1.994612948881998e-07,5.7220458984375e-06,2.273538494607557e-06,1.6131070884890563e-05,2.0067303932122037e-05,1.9571918922465823e-05,1.1480015390388208e-05,7.017331424451609e-06,8.238686455627709e-06,3.703691626113073e-05,8.459764758111555e-06,7.69377760750805e-06,1.6401686052542173e-05,4.852950842670197e-05,0.0001203198181955,0.000386735667353,4.062601315083168e-05,3.204474578031422e-05,0.0002392988938551,0.0003292042276133,6.915247717571794e-05,0.0001296427712511,4.158924965970656e-05,0.0003019571304321,8.177034782636152e-05,5.784277188581143e-05,3.088775433990916e-05,1.86346273507266e-05
25%,0.0451274151262515,0.0258423426679072,0.0476137442085086,0.0175233479418786,0.0192052143723218,0.0228849906289116,0.0253478342594805,0.0336004056428607,0.1508402063772678,0.0314133134406704,0.0178237339514136,0.1267925065661233,0.0486657908886154,0.094552795489802,0.0518830163138252,0.0504197096451603,0.1059932720958996,0.2330254117647806,0.3256613186427525,0.0859343708934871,0.3672637378468233,0.2222060975821122,0.246819831430912,0.1387916711660531,0.214966640327916,0.067441113517008,0.4423222252816865,0.0830097473584688,0.1455648433078419,0.1538113249199731,0.0712888505723741
50%,0.0947175537205436,0.0562021908593085,0.0815596431738441,0.0369458578846937,0.038976449232835,0.0459121941141999,0.0539461957647445,0.0681473728501317,0.3107993146042664,0.0735404298841732,0.043830891361277,0.2886419982126314,0.1069906655178274,0.1724457377035537,0.1121850937251516,0.09396375425253,0.2197493109510931,0.505563755830129,0.6548433756006174,0.1620389547216177,0.6848892124872359,0.535242212352468,0.4888438897974351,0.3207505234574851,0.3364672660827636,0.1256789203913238,0.7759771040726525,0.1733863502740859,0.3074587628811221,0.284182588259379,0.1426698007891255
75%,0.1464437307180227,0.0968532873801007,0.107212386107797,0.0664042144033188,0.0592303601613484,0.0863396473702667,0.0894440144260777,0.1427164979720627,0.4725201996207304,0.113456211009609,0.0715330338230439,0.5029481479099818,0.180840406942805,0.2977080755975719,0.2167825846709022,0.1470883397295127,0.4404000670948405,0.7766005226543969,2.2813593660082137,0.3129621058593302,1.817991234007336,1.3304851158805515,0.9373430560032529,0.5463202529483371,0.8641226821475557,0.2132547444028403,1.3734902226647667,0.285007381439209,0.546240286393599,0.5976283848285675,0.2156225281792718
80%,0.16626640365027182,0.10811526319190445,0.1174171860822802,0.07431546508606238,0.06436262169037468,0.09727843045272169,0.1000075665060927,0.17123750836169999,0.52000712759775,0.12146016229040044,0.0806249572641099,0.7295465267187227,0.19181820324489046,0.33702043064706116,0.23768095583925372,0.16649481010709988,0.49366584243637435,0.849169621864955,3.738026857376099,0.42818122905689315,2.3076103797980716,1.7344948053359985,1.1937066846423683,0.6052335363919618,1.3562879666038181,0.24122705231378694,1.5814917750097441,0.31760932244951756,0.6832739549096337,0.861207714128257,0.2399202882065603
85%,0.22359536377103686,0.1188853732336239,0.13678288320052992,0.08397794352633511,0.07027878052738289,0.10637773600619742,0.11028734530426591,0.193474411870906,0.5816911591318278,0.13205913364337718,0.09004508479239509,0.8296054376728941,0.21076029063151733,0.38204274435329294,0.2552551862376106,0.18825411268632855,0.519433092187952,1.0087899367014566,4.894976178805034,0.6742959066673562,3.2087328327007785,2.183630406856537,1.438312811034543,0.6934628084481481,1.878648422766423,0.2744399363698523,1.8754115378719638,0.36651632463609846,0.9627354758126394,2.6940408150355024,0.2766045229254599
90%,0.2691540858714839,0.14192464639227811,0.1541152421437068,0.09326848732117597,0.08024341276475594,0.11637276997958361,0.12083640093224617,0.2307318433429286,0.6328445306992133,0.14876210309764293,0.104682931980844,1.0219038703224874,0.2754128259771009,0.44506529212429063,0.27698761685871465,0.2160852704813299,0.5403435841400657,1.3040873947597689,5.790871625854859,0.9908528229624961,4.683608128474311,2.5332452399390086,5.894706010818482,0.9103546020312193,3.211807761873519,0.3370250061057943,2.2265851672030013,0.45397524682302315,1.2506301674661757,3.312296479940415,0.3457983442342998
