,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,0.10928112701473591,0.062174170022536404,0.08580262116102111,0.04213374235346552,0.03789078144782545,0.0549100625458069,0.059545574708419764,0.09131604233594515,0.3543682178987637,0.07644282627360212,0.048401385058277534,0.350331815383461,0.12955603033635282,0.22066669179395645,0.1302933323564411,0.10734829908080984,0.27280113731707284,0.6007932630118828,inf,0.4264397005779325,2.3167948824201123,1.7874112365875972,1.6528164045358822,0.9052778098870597,1.658646587371046,0.45534859813602074,1.1728797100308803,0.2926274345573415,0.8039877933375507,1.2715023943333883,0.5382990143844547
std,0.08415025542642773,0.053231604859354346,0.061080215822038215,0.030604700461667717,0.021170430605832295,0.032059346741906296,0.038714472769285614,0.07115893374142725,0.1740955623836732,0.056273395294995435,0.037729294752389175,0.31101556764376115,0.09753213023676507,0.1341705392789989,0.09340144355543682,0.07257727936751533,0.2041213604820989,0.5792485464206107,,0.7928065634808664,5.646032527055236,4.333849706279671,3.58549347287466,2.562836426366423,4.236360868508065,1.491363764625054,0.8520204950091571,0.542190062794193,1.6361453091104694,2.917594857347554,1.851652702481352
min,9.200006841741182e-06,1.3639933347726224e-05,2.513420496743039e-05,4.665911254370272e-06,3.2987704939122906e-06,2.498861020191584e-05,3.421343235032972e-06,8.991003779764642e-06,0.0002550516196638,3.393969803634793e-06,7.99877721307169e-06,2.8588512994073837e-05,5.572089292129819e-05,0.0002184528033162,3.774488267163232e-05,2.01507234734272e-05,7.53070919376431e-05,6.783950996429491e-05,7.30884725340733e-05,3.1776418951536544e-05,1.3347670675400993e-05,7.530216047987503e-05,9.875373298782555e-05,0.0001642235356557,4.332567027579761e-05,2.223983325185069e-05,0.0004194066026804,1.2691267874968298e-05,3.8449825399461904e-05,2.913515955860202e-05,8.25434206245445e-05
25%,0.0409268968798153,0.0194820963328232,0.0520669450088641,0.0137568796386349,0.021794093517498,0.0321257193933713,0.0276697845257161,0.0295978386863011,0.2361382490097507,0.0321821736254046,0.0184922424128057,0.0877254609169332,0.0547729842673939,0.1194391434715021,0.0549289494527351,0.0465426445911457,0.1093328305949832,0.2232666201482773,0.3758089641170529,0.0854627739386832,0.4550351746814098,0.2175748483470431,0.2188920259974967,0.1215592852318433,0.2067139088830134,0.0550734057090799,0.6118825193638827,0.0748721381099094,0.1637558483530629,0.1006987500674975,0.0689234503418805
50%,0.0911723433491432,0.0385538101626897,0.0791799656407431,0.0400102083109075,0.0345935030107326,0.0478183890172704,0.0549052908399027,0.0744838225569543,0.3540874579276494,0.0683498653603414,0.0403639228617328,0.2761067370147256,0.1115164459445001,0.2034484227075099,0.1109637341753959,0.0947504978051617,0.2196416533751369,0.5161555515674631,0.6818568031894193,0.1560939633698131,0.6588787204048029,0.5409234602233841,0.4315176934668802,0.351488816458241,0.3420539440387487,0.1394646906495813,0.9384720866633772,0.1620209839931162,0.341226951008331,0.2094190838056507,0.1209809239716157
75%,0.14594464875718,0.1035983537001948,0.107302811593194,0.0652097141213367,0.0543057783086572,0.0701466390868657,0.0849607978518514,0.1397963758906106,0.4829856316902612,0.1103000594755186,0.0674764996446655,0.4679301661034605,0.168964399696256,0.3094929386637455,0.1919920234717203,0.1588403086181394,0.4505924371871195,0.6857630349657257,3.082305412749496,0.2891259474955144,1.5757929393870138,1.2453756309847428,0.776268469602705,0.5589262656085686,1.162366756152823,0.2030187161166758,1.5943973376175409,0.3030628796105454,0.5035265001241662,0.5563924397068215,0.2205854405921303
80%,0.16690026854736584,0.11186323684545664,0.11574405106066644,0.07128383619897931,0.0617460161340222,0.0784213273604394,0.0948904710527438,0.15360330202357203,0.5052186560138435,0.11915696461462978,0.07329000971855207,0.6386785432541819,0.1797424231819006,0.3456712834300342,0.2224330965340595,0.1713478518740035,0.49330947416581705,0.7655102505307869,3.836202211175171,0.3761854101403906,2.2055322050867923,1.8125882451242035,1.0980772395767766,0.6049469274202359,1.5814110086557926,0.21928974473636556,1.7619255341833246,0.31854364898288384,0.5941881021609275,0.7863496685539896,0.2432294643759324
85%,0.21037106505539,0.12592374550017274,0.13004661066814874,0.07746381270701802,0.06554244183354224,0.09055540350255645,0.10325160256307718,0.17257024426637063,0.5430710656435401,0.127663350527523,0.08641733901453115,0.7114100012747097,0.21649401788407915,0.37806777319198964,0.2555377191400508,0.18745585237926718,0.5279857418216748,0.8743017211202484,5.53586223648729,0.7076988359251812,2.6874037472008085,2.312555960260037,1.396720954626604,0.7141750985002485,1.7604143314644023,0.2470801645590139,1.8915909810769294,0.33700244038671123,0.8699656014508945,2.888270052787059,0.2733094449278438
90%,0.2600518930878268,0.14295034695785813,0.1609852532202696,0.08536072408707944,0.06919006169044407,0.1046528995130827,0.11365057158552871,0.21544676139151697,0.599481886331166,0.14415240219774925,0.10003470977816131,0.8550682782874771,0.30537011529159414,0.4035681679602537,0.2797339261065835,0.20420453482861967,0.5581343257091609,1.1609487581904658,6.079954118153317,0.9841683043534227,3.4987130469178,2.730352307416776,4.337928501812341,0.8241082862664403,2.6124858233952546,0.2849811333973598,2.0630903740836968,0.3693110824843731,1.2853293823208412,3.5668212057733353,0.3182838683491189
