,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,0.10492123803355234,0.0617484308110291,0.08197824532592776,0.04188505443616686,0.03532909333784409,0.05409620595203414,0.056487147530038306,0.09093580554532446,0.30855329026341194,0.07278457623891829,0.048047964683623295,0.3265161948732065,0.11504105750561856,0.19673018669529035,0.12283206421632722,0.09901349469703805,0.25089357010678587,0.5229208381959698,inf,0.3828506992551268,3.872805844541329,1.6086567631216906,1.7156444482089748,0.8528307891469212,1.4012539150588432,0.41608389564609927,1.0282090180185024,0.29568317803426425,0.7401844795939784,1.2730284698695666,0.5206314908279842
std,0.08815087457401595,0.0531657691357361,0.06616079052245841,0.033245786743642154,0.026043518588079167,0.03881834326334777,0.04143344580040321,0.07534313003076147,0.33202850219931196,0.05234796826906245,0.03958968821904931,0.32748248539064473,0.09746752260937606,0.1945261864739716,0.0992188788594478,0.07673430824106484,0.2718114157600574,0.6452626248165921,,0.6886607059060577,14.294733388739674,4.20466084588057,3.77777828064764,2.5037327019030187,3.6903166966983063,1.3421651850815262,1.3023009514402553,0.5305014242591096,1.5028684933990764,3.0851303050967016,1.7766890440428784
min,1.6355203636421745e-15,9.251858538542972e-16,4.563537159666667e-16,8.793845739605201e-16,4.916116714207336e-16,3.7848512203130333e-16,3.186743147589077e-06,2.3858272568257334e-15,5.282942192322072e-05,2.473577692844827e-05,1.296610831679015e-15,2.9216395384872543e-16,2.883696167857549e-16,6.347121908522433e-05,1.2991971564762469e-15,1.7250435327521729e-15,2.240817113922334e-15,3.7007434154171886e-16,2.1055953915304696e-15,1.2484435618274852e-15,9.251858538542972e-16,5.551115123125784e-16,2.7755575615628914e-16,1.4713799121538219e-15,0.0001136363636354,0.0,0.0001010101010099,1.805240690447409e-16,4.11193712824132e-16,2.1769078914218755e-16,2.9096754126130233e-16
25%,0.0364806097287613,0.0203812824956683,0.0329111644657859,0.014593548387098,0.0139483394833949,0.0235260115606934,0.0223836838750794,0.0295476190476199,0.0668142572503866,0.0306904818988244,0.0162968591691994,0.0899999999999996,0.039826589595375,0.0582757995832198,0.0432142857142859,0.0393289084189821,0.0702833753148618,0.1500000000000007,0.3390476190476182,0.0650253807106583,0.4171621621621621,0.2036065573770495,0.2400000000000001,0.1200000000000007,0.1669811320754717,0.0498194945848376,0.2240366972477062,0.0641242937853122,0.118281250000001,0.0889583333333329,0.0506649831649829
50%,0.0842258508754672,0.0457849462365574,0.067888616891064,0.0338650306748457,0.0306827309236958,0.0473936170212762,0.0483896940418669,0.0706375442739092,0.2079529466036199,0.0652253336250269,0.039598337950139,0.2155555555555555,0.0904285714285708,0.135837389380531,0.0964752475247524,0.0849893659880261,0.1690695970695965,0.3359154929577461,0.7192405063291136,0.1461290322580644,0.7919047619047617,0.4621739130434786,0.5106250000000003,0.2775903614457835,0.3589090909090909,0.1120202020202014,0.6159314775160603,0.1559459459459465,0.2598717948717953,0.2283928571428565,0.1133267457180506
75%,0.144268092105263,0.0917419354838705,0.114169842133914,0.0626752503576551,0.05189090909091,0.0749411764705882,0.0834926704907571,0.1377385620915017,0.4509879595785856,0.1044348558198266,0.0687400055141991,0.4374257425742569,0.1637012987012991,0.2821352759552283,0.1851666666666667,0.1403688147854751,0.3411906677393406,0.6352112676056337,2.432857142857144,0.3272690763052203,1.7035714285714287,0.9924242424242422,1.0059090909090902,0.4957303370786521,0.8238095238095242,0.2065027322404363,1.313661971830987,0.2846327683615819,0.6069230769230772,0.7562686567164181,0.2300760135135132
80%,0.163909437307101,0.10574290484140264,0.12717556707455407,0.07057225257256976,0.0571610519031138,0.08287042542555692,0.09266175074919908,0.15907513553182936,0.5041669336024909,0.114098357781544,0.0770662545241326,0.5345492622560671,0.1852937136527275,0.3214757646812506,0.2067860072207225,0.15333635984678473,0.38893593480645666,0.7207664936990361,3.3916666666666706,0.4320504352278545,2.3107362637362643,1.4215844155844153,1.215641975308643,0.552308377896613,1.2056190476190485,0.2391254918829356,1.5922472272635615,0.32573876123876194,0.8173095902166918,1.1312835820895555,0.27200242208588593
85%,0.1940669113437652,0.1211116520365475,0.1428383515238376,0.07925368929997782,0.06302760648894809,0.09470615246191506,0.10204479479087462,0.1814085085226618,0.5795474053503151,0.12707226107226158,0.08981424473588612,0.6658278670482077,0.21405735939369752,0.3708076275711325,0.2302909960852547,0.17018392664684667,0.46493833788136607,0.8548888888888894,4.728857142857144,0.6547962962962952,3.1852201257861648,2.0061523809523787,1.983409090909092,0.6424705882352929,1.6862173913043481,0.2832672478403221,1.966462745098041,0.38060228034875926,1.180372093023256,2.3883333333333345,0.3245241948982565
90%,0.23832331913678287,0.139555165689128,0.16370360110803397,0.09180597014925206,0.0719599999999999,0.11023848655040025,0.11521037628278155,0.20864454706575478,0.6807909464783873,0.14265370047312848,0.1049291425420457,0.8346360698125417,0.2494380811858764,0.4425669243469915,0.26143271717101124,0.1969696590753258,0.5577328095759734,1.1615428571428585,7.916000000000001,0.9693945868945875,4.763128205128202,2.903766233766232,4.495000000000004,0.8841986928104587,2.4166086956521733,0.3595215401140227,2.503015580286171,0.49530158730158763,1.6959999999999988,3.2900000000000023,0.41768774825833177
