,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,0.0233616582088483,0.012089115489168047,0.04193486985276625,0.0002133614319433423,0.01319594030280145,0.009777737483015764,0.038739457798973045,0.0178396115855352,0.009486716143623012,0.023197661880133225,0.027057951344058924,0.2163457011717953,0.03689431890723128,0.11762862293777723,0.08061140922031047,0.0474082031862357,0.05417604269298535,0.15020760679573852,0.7284718596045726,0.04833358842727895,11.039158855596373,0.17037042079093104,0.43633953028597106,0.0997747338678554,0.13328949473806787,0.15346462468404562,0.3000677975817213,0.002218316787189737,1.025997027351066,0.01558836916450579,0.06687821496311894
std,0.030049623127752462,0.012031990576901174,0.04175444381171592,0.0016961132908923468,0.011175792457355687,0.009480517178529267,0.030444017300673955,0.016853130174360735,0.03159978688673471,0.02203011791351934,0.026154579878868663,0.21058459784769623,0.03584950805459363,0.11607093444464174,0.06681445380839848,0.03845636592499411,0.07061920190750318,0.1605078843087991,14.343164718851327,0.06282018525183598,539.5404879862214,0.1817107367258663,3.8563780045821288,0.8417014082283724,0.181579825181091,0.27759393106707964,1.3616274909068333,0.0635403177022002,9.000705771673644,0.30576336045459046,0.14825676000903049
min,1.2322974952481808e-15,1.1847410440653068e-06,1.6708287091797853e-06,3.776552232840126e-13,4.430544546398376e-08,4.28775592170592e-07,7.318904974784311e-06,1.3064996596371422e-06,7.006193314003017e-10,1.731814926154396e-06,1.509774721884241e-06,5.003425921081556e-06,1.8019499935672072e-05,2.734309623939109e-06,3.931376494523e-06,2.0385410418690915e-06,6.404170669311408e-16,1.3260892794036826e-06,4.140192849407525e-05,1.2752790333383429e-05,6.783481996215944e-06,3.339607869661937e-05,8.083231070878017e-06,5.025996276509819e-07,1.2352876956405691e-05,4.828810913525961e-07,1.2330867640111848e-06,3.1156506268344797e-12,4.1268070246404585e-05,2.340087039135861e-12,1.1162988814512198e-05
25%,0.0044755643556996,0.0040261760950253,0.0137733195078191,3.2949035154632074e-09,0.0048709102428691,0.0031248343852052,0.0145261134923228,0.0060838763601853,0.000247983894328,0.0078571514868037,0.0077229933430623,0.0649385607270701,0.0115577649195226,0.0368113851350541,0.0277238315663256,0.0161729332610833,0.0099662748754933,0.0457991704642372,0.0948403934788541,0.0166708475047579,0.2789024001008581,0.053188696528995,0.085405247829041,0.0252506803494829,0.0412561273485993,0.0383493899769356,0.0483770557288037,2.271696105961747e-09,0.0824311873103581,3.0050280062630356e-05,0.0176561176469643
50%,0.0126663317858924,0.0090279667983948,0.0304449955433555,1.6170930533878507e-06,0.0104965399756281,0.0072315663911618,0.0318693390145312,0.0135411281023129,0.0016010266122042,0.0173723944266755,0.0191202297252179,0.1552662609639393,0.0269257315046163,0.0809488068292153,0.0623099062322269,0.0380663224897168,0.0273129789540975,0.1012965018625259,0.2231530859730305,0.0363168264619448,0.569577545192519,0.1159826217674856,0.2004094643336426,0.0564133398260249,0.0887020916473048,0.0879443803390787,0.1107550416520661,3.823327369373156e-06,0.2130403350410465,0.0004489394685692,0.0389829231626782
75%,0.0302654249124898,0.0163356313216226,0.0569806159522917,4.64776057635763e-05,0.0183597717182781,0.013615617212374,0.0560818990450836,0.0250557949023084,0.005786543116003,0.031450037670414,0.0378130664323407,0.2946564621232667,0.0504166919431087,0.1645288552575023,0.119070124412519,0.0700220018651235,0.070475469001663,0.195145312961863,0.4293418605096301,0.0655967058375011,1.327747815685597,0.2220099829780322,0.369786264202128,0.1160616082538171,0.1614940852883616,0.1637688433786973,0.23500765403188,0.0001900950831508,0.5196776571994892,0.0032918648249689,0.0722224242138038
80%,0.036716018899360985,0.018764140506165802,0.06517240643103059,7.312859664185735e-05,0.020733808955417224,0.01544033218878432,0.06262350985287753,0.028617442900885047,0.007725507970916643,0.03531818467697027,0.04377409348921636,0.3398083071245788,0.057667591247139105,0.18852566860671693,0.13508315694616743,0.07865447527228908,0.08621912556207229,0.22725896793423878,0.4970188569440063,0.07317920617712097,1.9340120504789098,0.25835276900562787,0.4321120451136373,0.13505534276478057,0.18440767739168812,0.18763787503289767,0.28821394871060174,0.0003762781725163203,0.6933773507770127,0.0050799020349114,0.08473942896820112
85%,0.0451596617083829,0.021659027501443637,0.07517658805232492,0.00013653398223572002,0.02393838508522194,0.017688909938137803,0.07083161138008896,0.032891449270457,0.01135270828332068,0.040924365946367156,0.05175481817523945,0.39565907850864096,0.068260725390117,0.22073136842271845,0.1539127441666366,0.08986151453265716,0.106238084071916,0.26732345189639756,0.5887044853977949,0.08281090152686314,3.2512870118456085,0.3102670738332847,0.5192932973935267,0.16433344132249725,0.22123717411785548,0.21951539483140362,0.3895381019147454,0.0007336149698745606,1.0085288495178069,0.00832536147071384,0.10063445062248093
90%,0.05873867556756298,0.026004065475376065,0.09015491221693575,0.00027898551035226066,0.028141073480392964,0.020924503934437687,0.0821724390418207,0.03809877199803245,0.018449077414048557,0.04898284521862256,0.06415700124728559,0.48580010642799204,0.0816415020512418,0.26595429703655943,0.1774881285651461,0.1036098191483353,0.1380359518234247,0.338653092803284,0.7303452852356567,0.09600412718902503,5.868476889278405,0.3862856766038351,0.6664821635960164,0.21268837020444636,0.27293174157731437,0.2787162336114109,0.5771656427909878,0.001585592461417242,1.3980062826964879,0.014637617391331386,0.1307679828825673
95%,0.08191022465582748,0.033019861208523286,0.11508207812302014,0.0006523071524691407,0.034589786999645045,0.026723187360505666,0.09820320826131752,0.04566543315686164,0.037383425487899274,0.06543034596687805,0.08115473310635882,0.6722010459767147,0.10608943187697403,0.3457251711445052,0.2092534015688082,0.12179051176854305,0.20046051053698552,0.48375539040334403,1.1454803859395033,0.12027702424979982,12.35368051351127,0.5171220374944154,0.9877067339721242,0.2949689775824724,0.4002748057169312,0.4548203199915632,0.9376179726551265,0.0040335978820516824,2.458035154180417,0.03281396977028443,0.19560025828245267
99%,0.14824960538985088,0.05455442148719078,0.210329241543566,0.0035036992071604536,0.051015670678884795,0.04614625137117973,0.12966897363767932,0.0731459997475101,0.16046330430427264,0.10945287633028589,0.11843247552375039,0.9712096122630113,0.17468134025560517,0.5297037295361905,0.27826051963583837,0.1581322915953195,0.344060324202421,0.7675359599380304,4.572596637566793,0.2109553516637747,63.70534118531907,0.8590470232707234,3.116184378355406,0.47325250948137315,0.8434438783464512,1.5234600935968752,3.648777027720174,0.02575887867856421,11.663419776574148,0.1690372160838467,0.47960966295791585
max,0.2816124922481182,0.1946409781954905,0.3256609882609597,0.060114212065208,0.0823601733352713,0.1186102429214112,0.1831325754684277,0.2540522373823222,0.5550230501761997,0.1938607129857411,0.1867968619619877,1.3225685321362082,0.3127573456550184,1.0657485288484174,0.4276414143744079,0.2554069840638315,0.637096896998927,2.1365301248547413,1204.6211214184502,3.1463542739135204,51588.58005304029,3.626515613025795,303.81683913685083,80.53539909540258,5.664006895642574,5.116876767773594,106.7805539672662,5.977327128849863,584.3658712842888,19.88241991573936,6.370456586619547
range,0.28161249224811696,0.19463979345444643,0.3256593174322505,0.06011421206483034,0.08236012902982584,0.11860981414581903,0.1831252565634529,0.25405093088266256,0.5550230494755803,0.19385898117081493,0.1867953521872658,1.322563528710287,0.3127393261550827,1.0657457945387936,0.4276374829979134,0.25540494552278964,0.6370968969989264,2.136528798765462,1204.6210800165218,3.146341521123187,51588.58004625681,3.6264822169470983,303.81683105361975,80.53539859280295,5.663994542765618,5.116876284892502,106.78055273417944,5.977327128846747,584.3658300162185,19.882419915737017,6.370445423630732
coef_of_variation,1.2862795465593737,0.9952746822281533,0.9956974698697334,7.949484006756883,0.8469114137310174,0.9696023435889153,0.785865859523749,0.9447027528349144,3.330951027556163,0.9496697566915662,0.9666134566618395,0.9733708444730117,0.9716809827750238,0.9867575726533884,0.8288461206005592,0.8111753523736028,1.3035134793381074,1.068573607773856,19.689387489363074,1.29972111105206,48.875144840650414,1.066562704266907,8.838021166807213,8.436017572776956,1.3622965976269943,1.8088463816243814,4.537732811985611,28.643482332699612,8.772643128325427,19.614839578652248,2.216816942419726
