,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,-22.322857500782856,-52.668739719484066,0.022174489250187186,0.022699026633864583,0.05009031982030163,0.02218344207936678,0.08287174029307948,0.45268563482725427,0.6021218739972191,0.5989781794844368,0.6260653973687025,0.6219961279281206,0.25685294683923415,0.1225901486790031,44.82074553428174,5.172893357578351,17.820240667451067,7.849635255107497,2.707748422291154,1.7658273612151034,29.954793025992082,9.054706385709702,116.90555995293614,85.3191828002995,40.665418761364855,1.199670553000321,1.7239415980318749,113.73953363996148,4.58114450743395,1116.6171323136164,18.708862979997864,0.2134014333083752,-0.35449138945341746,1.8201604449673763,0.1512364958819126,-0.3772692266552573,-0.10233500909188144,-1.2473590758369881,-0.7146946197454275,-2.391308161300674,1.3020109102577815,1.1226270189325063,0.3517392234463579,0.5621617285271152,10.983753342603487
std,0.002265121062050799,0.002449627014002104,0.0024833934040178894,0.003854336997020805,0.004869813205138961,0.0129262520791961,0.01128856293621532,0.027790798303431848,0.04484484238349453,0.04758901749205927,0.04562621363858352,0.042855332016262716,0.012443787131771793,0.017359331339122347,5.692028153456906,0.39364295342815947,1.1683955384199478,0.4572285462882381,0.07477187119783071,0.0923332584283837,1.6378271532628377,1.178978652537686,41.0935942111908,8.106765775772642,3.0488827454428025,0.43896881749445704,0.3086921235484231,22.371912425448986,0.6843317966393031,138.55566517975242,7.15994170908092,0.10389465181489106,0.32899434858850074,0.5380715616823535,0.8809500736806183,0.33475614985045277,0.6231157413200392,0.636553949173037,0.23521161302798754,0.799458624933834,1.6665558583688893,0.67128263540444,0.8890595989579246,0.49487002605738517,3.4762806088613694
min,-22.32734217445679,-52.67362041332255,0.0179,0.0135,0.0272,0.0102,0.0504,0.2592,0.2869,0.2861,0.3103,0.4047,0.175,0.0791,35.25,4.63,15.38,6.97,2.58,1.59,27.14,7.65,80.52,70.83,35.6,0.66,1.27,90.4,3.49,927.77,13.33,0.07,-1.09,0.78,-0.68,-1.23,-0.82,-2.31,-1.06,-3.43,-1.71,-0.77,-2.37,0.1,1.19
25%,-22.324686890516045,-52.670744527916455,0.0209,0.0214,0.0485,0.0185,0.0792,0.4468,0.5937,0.5912,0.6173,0.613,0.2504,0.116,41.29,4.97,16.66,7.35,2.68,1.73,28.71,8.35,93.02,78.52,37.99,0.75,1.54,92.49,3.84,1054.46,13.87,0.15,-0.42,1.59,-0.26,-0.46,-0.4,-1.38,-0.88,-2.77,0.74,0.91,0.44,0.46,10.64
50%,-22.322861353494307,-52.66876735669975,0.0214,0.0222,0.0495,0.0193,0.0805,0.4608,0.6163,0.6134,0.6404,0.6355,0.2568,0.119,43.57,5.24,17.93,8.08,2.73,1.74,30.04,8.82,97.99,85.57,41.36,1.37,1.68,108.47,4.74,1078.69,15.61,0.17,-0.33,1.94,-0.03,-0.33,-0.22,-1.23,-0.72,-2.53,0.93,1.28,0.54,0.5,11.84
75%,-22.321035792590106,-52.66679018548306,0.0222,0.023,0.0505,0.0206,0.0822,0.4699,0.6291,0.6259,0.6539,0.6502,0.2625,0.1223,50.39,5.4,18.27,8.11,2.76,1.85,31.05,9.05,118.87,92.14,43.32,1.52,1.91,119.12,5.05,1166.22,17.68,0.23,-0.17,2.1,0.13,-0.11,0.05,-0.8,-0.55,-2.05,1.08,1.57,0.78,0.56,12.41
80%,-22.320620889054045,-52.66634082838836,0.0228,0.0232,0.0508,0.0211,0.0828,0.4714,0.6312,0.6283,0.6559,0.6527,0.2635,0.1235,50.83,5.4,19.06,8.15,2.77,1.85,31.38,10.84,189.65,92.14,43.84,1.52,1.91,147.46,5.05,1189.08,22.26,0.31,-0.17,2.17,0.4,-0.11,0.11,-0.8,-0.42,-2.05,4.06,1.57,0.82,0.57,13.44
85%,-22.320205984284488,-52.665891471293655,0.0237,0.0235,0.0511,0.022,0.0841,0.4729,0.6335,0.6309,0.6581,0.65508,0.2645,0.1258,50.83,5.76,19.06,8.15,2.77,1.88,31.38,10.84,189.65,92.14,43.84,1.68,2.08,147.46,5.4,1327.18,32.16,0.31,0.0,2.49,0.4,-0.11,0.11,-0.8,-0.42,-1.83,4.06,1.57,0.84,0.57,13.44
90%,-22.31970809693283,-52.66535224278002,0.0252,0.024,0.0518,0.0245,0.0894,0.4746,0.6363,0.6338,0.6611,0.6586,0.26582000000000006,0.1322,53.28,5.76,19.6,8.55,2.81,1.88,32.92,11.42,193.67,95.02,44.85,1.68,2.3,157.97,5.4,1327.18,34.88,0.47,0.0,2.49,0.4,-0.02,0.11,-0.68,-0.42,-1.83,4.1,1.77,0.84,0.57,15.18
