,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,-22.322857500782856,-52.668739719484066,0.022174489250187186,0.022699026633864583,0.05009031982030163,0.02218344207936678,0.08287174029307948,0.45268563482725427,0.6021218739972191,0.5989781794844368,0.6260653973687025,0.6219961279281206,0.25685294683923415,0.1225901486790031,46.05385709701572,5.15507968766713,16.85271900738047,7.684487110920953,2.6629104717082046,1.802807786929083,30.835255107498128,8.96135308589154,124.14947481014013,85.8935597390095,40.56477163332978,1.2237586907690663,1.7805326772916887,116.28868969943309,4.441924269975399,1108.0775569579635,16.333538346347204,0.22299497272435556,-0.29813562947908867,1.8712717937747356,-0.2520301636538667,-0.45832923307305606,-0.2800235319285485,-1.2911680393624987,-0.6308942132848433,-2.5460733768317465,1.7404877527008236,1.244554497807252,0.4707027489571077,0.4877484222911541,12.032921168039364
std,0.002265121062050799,0.002449627014002104,0.0024833934040178894,0.003854336997020805,0.004869813205138961,0.0129262520791961,0.01128856293621532,0.027790798303431848,0.04484484238349453,0.04758901749205927,0.04562621363858352,0.042855332016262716,0.012443787131771793,0.017359331339122347,5.685096425238341,0.39874166451820936,1.6451739201426008,0.42667576765951637,0.11705481586451398,0.11032006746908446,2.2042608434866398,1.1198834002103504,66.5041216052977,8.10782617379217,2.42766997731721,0.4087378843055515,0.264861632857653,39.083841134833335,0.6939642962099093,145.6002224004909,6.174821236548246,0.1570594342679458,0.3153512763149232,0.5729892171394396,0.7768843826314592,0.35167845943992576,0.4956080961638968,0.6871187078199,0.3478473941619527,0.6107950718332023,2.369352406785534,0.5337517750497709,0.6543584728662967,0.3939689348664948,3.5487592244093773
min,-22.32734217445679,-52.67362041332255,0.0179,0.0135,0.0272,0.0102,0.0504,0.2592,0.2869,0.2861,0.3103,0.4047,0.175,0.0791,35.25,4.33,13.53,6.97,2.49,1.59,27.14,7.65,80.52,70.83,35.6,0.59,1.27,90.4,3.28,899.42,10.4,0.07,-1.09,0.4,-1.26,-1.34,-1.12,-3.05,-1.41,-3.43,-1.71,-0.77,-2.37,-0.24,1.19
25%,-22.324686890516045,-52.670744527916455,0.0209,0.0214,0.0485,0.0185,0.0792,0.4468,0.5937,0.5912,0.6173,0.613,0.2504,0.116,42.6,4.98,15.49,7.35,2.59,1.7,29.09,8.19,92.06,81.05,39.39,0.91,1.54,92.19,3.84,997.66,12.86,0.14,-0.42,1.82,-0.74,-0.6,-0.4,-1.38,-0.88,-2.97,0.74,1.05,0.54,0.46,10.64
50%,-22.322861353494307,-52.66876735669975,0.0214,0.0222,0.0495,0.0193,0.0805,0.4608,0.6163,0.6134,0.6404,0.6355,0.2568,0.119,46.8,5.14,16.66,7.7,2.64,1.81,30.46,8.79,96.5,85.57,40.52,1.26,1.73,102.5,4.62,1067.33,14.07,0.16,-0.23,2.05,-0.38,-0.33,-0.32,-1.13,-0.66,-2.53,0.93,1.28,0.59,0.5,11.84
75%,-22.321035792590106,-52.66679018548306,0.0222,0.023,0.0505,0.0206,0.0822,0.4699,0.6291,0.6259,0.6539,0.6502,0.2625,0.1223,50.83,5.34,18.27,8.08,2.75,1.9,32.92,9.05,101.43,91.86,42.36,1.52,1.93,112.56,4.84,1250.48,17.34,0.21,-0.07,2.17,0.01,-0.21,-0.23,-0.83,-0.27,-2.45,1.09,1.42,0.79,0.56,12.81
80%,-22.320620889054045,-52.66634082838836,0.0228,0.0232,0.0508,0.0211,0.0828,0.4714,0.6312,0.6283,0.6559,0.6527,0.2635,0.1235,50.83,5.4,18.27,8.11,2.76,1.91,32.93,9.12,118.87,92.14,43.32,1.68,2.08,119.12,5.05,1281.59,17.68,0.23,0.0,2.17,0.13,-0.15,-0.22,-0.83,-0.24,-2.33,1.19,1.57,0.84,0.57,13.2
85%,-22.320205984284488,-52.665891471293655,0.0237,0.0235,0.0511,0.022,0.0841,0.4729,0.6335,0.6309,0.6581,0.65508,0.2645,0.1258,51.61,5.51,18.37,8.11,2.77,1.91,33.0,9.98,189.65,96.72,43.64,1.68,2.1,147.46,5.06,1281.59,20.05,0.31,0.01,2.32,0.13,-0.14,0.02,-0.8,-0.23,-2.14,4.06,1.85,0.85,0.58,13.44
90%,-22.31970809693283,-52.66535224278002,0.0252,0.024,0.0518,0.0245,0.0894,0.4746,0.6363,0.6338,0.6611,0.6586,0.26582000000000006,0.1322,52.4,5.76,18.51,8.15,2.81,1.97,34.51,10.84,193.67,98.67,43.64,1.7,2.18,157.97,5.16,1327.18,22.26,0.47,0.06,2.45,0.28,-0.11,0.05,-0.78,-0.14,-2.05,4.1,1.89,0.86,0.67,15.18
