,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,-22.322857500782856,-52.668739719484066,0.022174489250187186,0.022699026633864583,0.05009031982030163,0.02218344207936678,0.08287174029307948,0.45268563482725427,0.6021218739972191,0.5989781794844368,0.6260653973687025,0.6219961279281206,0.25685294683923415,0.1225901486790031,46.12955696148086,5.164557610599908,16.903390995777865,7.673999500533022,2.6642825520501496,1.8009068167642122,30.81754042090717,8.963497656517985,126.07949424917985,85.92713712460058,40.517393829094516,1.2265492364314339,1.7846470211003151,117.19435781139418,4.436187297202957,1107.9278443246583,16.628381455497124,0.22859588590022442,-0.2965372996894467,1.8655600962722483,-0.21987017679289791,-0.4737699544190296,-0.26753262097549635,-1.3003276694189854,-0.6424146274969127,-2.542472662575916,1.7874397581780228,1.2324952454164821,0.4650868114138332,0.48949994778865497,12.069127245185346
std,0.002265121062050799,0.002449627014002104,0.0024833934040178894,0.003854336997020805,0.004869813205138961,0.0129262520791961,0.01128856293621532,0.027790798303431848,0.04484484238349453,0.04758901749205927,0.04562621363858352,0.042855332016262716,0.012443787131771793,0.017359331339122347,1.3949921728036117,0.081259760850628,0.928917250375697,0.012534785285752848,0.04659040268232862,0.023688994762326478,1.5817527107408222,0.2131021092620848,4.765310512640602,2.512560564512339,1.4640941051995278,0.2988641974244305,0.0945016362230663,23.29725751983717,0.4953659849407526,83.55448094137432,1.6708749711397957,0.04187568605903426,0.111981420110019,0.11564810167673177,0.22706900866659038,0.10062510962883342,0.11247744153608367,0.15396115628217064,0.1091439908501571,0.43862002770321323,0.486715331453896,0.020885474930509858,0.4739437395769103,0.031087235807592054,1.0783046653108852
min,-22.32734217445679,-52.67362041332255,0.0179,0.0135,0.0272,0.0102,0.0504,0.2592,0.2869,0.2861,0.3103,0.4047,0.175,0.0791,37.59321394322689,4.369580615954678,13.33473355043815,7.239756208338786,2.4964983286196727,1.6076319942330215,27.07450672770192,7.684603233139289,95.5374040557929,71.82101819199028,35.56890913935724,0.592735586058363,1.288343616098933,90.4830785511186,3.307964293752933,931.443482320091,11.476981946635997,0.0773864671311938,-1.0592831870254744,0.4777470808956689,-1.130511109320482,-1.2324452604282758,-0.9093545121005588,-2.977437936135794,-1.3821059153006494,-3.373840477826773,-1.442737740366136,-0.2484201076254134,-2.3709206092179933,-0.21763449472656,1.69011440061334
25%,-22.324686890516045,-52.670744527916455,0.0209,0.0214,0.0485,0.0185,0.0792,0.4468,0.5937,0.5912,0.6173,0.613,0.2504,0.116,45.98399734577151,5.112818747538475,16.47318580890812,7.673999999999991,2.6294899679891564,1.785177985910578,29.831678862501462,8.836254900631488,126.07949806011024,84.55139958534293,39.78822818661913,1.0013530860084587,1.7344405743566789,102.78143733595076,4.044775173151996,1035.166802525851,16.13948070075068,0.1997840847166763,-0.3475048232819799,1.7859565257624488,-0.3428308650452905,-0.5478605348892762,-0.3139359102463696,-1.3876107734517118,-0.7045960213628583,-2.877467082312264,1.6481614559912636,1.2324999999999984,0.4507583153691195,0.4895000000000006,11.588197846602654
50%,-22.322861353494307,-52.66876735669975,0.0214,0.0222,0.0495,0.0193,0.0805,0.4608,0.6163,0.6134,0.6404,0.6355,0.2568,0.119,46.128000000000064,5.163542279673214,16.92001194794315,7.673999999999991,2.6640545197871632,1.8015338220966692,30.631184680705537,8.957674129387295,126.07950000000004,85.80352254488687,40.50002338258858,1.233892752316073,1.7921584176007568,109.19553187078792,4.365290185352662,1112.2817326694856,16.575910292705636,0.2383688820534014,-0.2873007970109669,1.85666042593298,-0.1951120826501974,-0.4777190530156684,-0.2801415527737433,-1.3369361542006215,-0.6463869197629523,-2.5607413615647543,1.8852751939461327,1.2324999999999984,0.5661325560662067,0.4895000000000006,12.217173983449907
75%,-22.321035792590106,-52.66679018548306,0.0222,0.023,0.0505,0.0206,0.0822,0.4699,0.6291,0.6259,0.6539,0.6502,0.2625,0.1223,46.42594302710381,5.205808539787502,17.426494806308234,7.673999999999991,2.695719384478875,1.8142320738628608,31.87695355358544,9.09443621541586,126.07950000000014,87.37796813019028,41.22073741497584,1.4392749190863985,1.83820443429835,121.34352802612828,4.742245200189217,1173.0108694008168,16.642510950717043,0.2592155525591906,-0.2323762870627833,1.937161254999473,-0.0833963630347871,-0.4049456142761357,-0.2239900165282867,-1.2397235647453435,-0.5893308341635852,-2.3693299209008822,2.060448874057058,1.2324999999999984,0.6990757683791612,0.4895000000000006,12.510529337153882
80%,-22.320620889054045,-52.66634082838836,0.0228,0.0232,0.0508,0.0211,0.0828,0.4714,0.6312,0.6283,0.6559,0.6527,0.2635,0.1235,46.641168985343526,5.218745114259263,17.592166068249263,7.673999999999991,2.701561509234434,1.8178901073915885,32.20255012151106,9.125819596259843,126.07950000000014,87.66839604165548,41.50203124148894,1.4923505697930908,1.850078918351596,126.47170892217534,4.820737171548326,1189.5239846810698,16.734825664667305,0.26187446004749226,-0.21656406592297367,1.9621705446909385,-0.05550287301957006,-0.3839014880694752,-0.20830140137865968,-1.1976055155869352,-0.5720600932688786,-2.3317568424740958,2.098820348820805,1.2324999999999984,0.7228325830136366,0.4895000000000012,12.594285415990308
85%,-22.320205984284488,-52.665891471293655,0.0237,0.0235,0.0511,0.022,0.0841,0.4729,0.6335,0.6309,0.6581,0.65508,0.2645,0.1258,47.04188090144174,5.237141000779838,17.781685745689103,7.673999999999991,2.7091327621196197,1.8221396437887738,32.542232334774354,9.173640205456921,126.07950000000014,87.99146550716479,41.91699709017092,1.555561180417325,1.8622588387922823,134.56657964018606,4.921954230667919,1205.8941287743453,16.928792390314808,0.26554816650325014,-0.19692009967427157,1.9868345288513747,-0.028539756503734363,-0.3606134117941416,-0.1873289953162493,-1.139556869401195,-0.548764348417464,-2.2721672415397185,2.1362391571003325,1.2324999999999984,0.7517548995111405,0.48950000000285454,12.681947547376375
90%,-22.31970809693283,-52.66535224278002,0.0252,0.024,0.0518,0.0245,0.0894,0.4746,0.6363,0.6338,0.6611,0.6586,0.26582000000000006,0.1322,47.60405690442856,5.266496905318531,18.028941471204334,7.673999999999991,2.7205296009354685,1.829575712120546,32.88182380494668,9.21565642694867,126.07950000039492,88.65285062017394,42.40641053563116,1.6203776136019292,1.8823238867657994,148.77165415947863,5.065679258974909,1222.758238853239,17.400502948413198,0.26995130008964346,-0.17517071542689147,2.010125049839394,-0.006045053001903244,-0.33156054480160624,-0.1645592151872549,-1.084197259665719,-0.5152449111690182,-2.0787605092513486,2.1740484793331207,1.2324999999999984,0.7854545375763337,0.48950000760094,12.790655168653869
95%,-22.31921020780498,-52.66481301426637,0.0276,0.0261,0.0548,0.0373,0.0989,0.477,0.6397,0.6375,0.6648,0.6626,0.2703,0.1477,48.4401803007221,5.298941952957902,18.313380475268726,7.674000000001059,2.7398054906778184,1.8394130264295447,33.6540526906945,9.26506815652651,126.07966294997732,89.9730291345028,43.10405199692718,1.7041567225052034,1.9267466639611235,173.41432746764391,5.437352820196935,1242.094203360455,19.098376487922962,0.27686909080206545,-0.13744619157345445,2.0516189754317513,0.02925136297240024,-0.3055958316851049,-0.1350791986756896,-1.0104208319019576,-0.45079422868035285,-1.6333987884955536,2.239423625426337,1.2325000000000335,0.8261255883164337,0.48951844670914313,13.165956336317068
99%,-22.318629334910963,-52.66418391433379,0.032252000000000045,0.0372,0.06850400000000008,0.0802,0.13055200000000003,0.4809,0.6451520000000001,0.643552,0.6699,0.6699520000000001,0.3021040000000001,0.19941200000000026,49.90620937706115,5.362797401213528,19.306567124335412,7.674793978437875,2.787823510143659,1.858624978288154,34.61211463414205,9.378446722625185,132.1699803059948,93.34628019131293,44.34619524087205,1.9083058787621272,2.0403966142129657,202.0244810281186,5.769892752260565,1272.2112066076586,24.81791114723691,0.30176339829614895,-0.05131681951368298,2.145032902220378,0.33355943540255273,-0.26258702217078156,0.13830440917891243,-0.8840241080571929,-0.3284693364501836,-0.9627641035602825,2.7508965335319147,1.233141026262028,0.8734432349312804,0.5008007476229642,15.413703346303098
